-50kb	-40kb	-30kb	-20kb	-10kb	boundary	10kb	20kb	30kb	40kb	50kb
0.164276982811	0.291072265378	0.200112790717	0.02161284917	-0.147744927341	-0.184508939979	0.000155257321	0.176455515334	0.315714397004	0.358924536908	0.322236216257
0.182224070436	0.424260093579	0.586114926803	0.44236423881	0.093906158736	-0.167317541804	-0.122158514763	-0.040882138473	0.035067420397	-0.035845371023	-0.09064435629
0.529309931124	0.286670376345	0.173765041044	-0.023438588594	-0.250405432696	-0.397396950565	-0.384146145989	-0.294016197794	-0.18600370961	-0.271351884785	-0.080654879454
0.073386974148	-0.06569658554	-0.099267149537	-0.170376572045	-0.307663450149	-0.442172562661	-0.365177608574	-0.209941832479	-0.089144754749	0.037144310221	0.024343347976
0.005626309195	0.10532660759	0.189116103753	0.172174132044	-0.033970889182	-0.259866180348	-0.247501263344	-0.044034665669	0.103250499927	0.014239353695	-0.130605943131
0.082553638545	0.10312176401	0.219797650785	0.111356916704	-0.091024102542	-0.204313462057	-0.055534016491	0.249713413919	0.347830705511	0.457078174164	0.096023174515
0.266000693226	0.272931555354	0.290697269357	0.120437084091	0.047867109542	-0.137097061314	-0.072465832339	0.205494474322	0.359061165172	0.393927871526	0.351721153189
-0.190689087388	-0.133076682801	-0.056877383143	-0.074478103796	-0.125796655667	-0.200219717351	-0.097972128882	0.055215155935	0.188085693367	0.167560824405	0.037392432776
0.174139978839	0.113657290227	0.114170680076	0.053522753661	-0.169094582253	-0.305398591551	-0.142179036522	-0.013071908973	0.158664803016	0.156929296824	0.07056979662
-0.013071908973	0.158664803016	0.156929296824	0.07056979662	-0.036143765986	-0.140684243059	0.025455063396	0.014641503352	-0.074521000744	-0.050913298582	-0.058992515625
0.281658465031	0.007847886989	-0.100848333391	-0.147883045015	-0.148971786601	-0.203999084703	-0.110847972373	0.054455714668	0.14544257511	-0.002986558432	-0.077465304474
-0.538880177262	-0.565120759815	-0.565120759815	-0.797329314467	-0.768339330052	-0.946854370282	-0.437484356558	0.043835829002	0.13230399939	-0.101159059484	0.016048109027
