"gene","Compartment","log2FoldChange"
"g10421","A",-2.67769835017053
"g17221","A",-7.5153808062547
"g27528","A",3.20643096990525
"g4301","A",-8.15805760196506
"g11311","A",-8.12021242158822
"g12633","A",-10.9977588333434
"g8131","A",-7.31895174934269
"g5827","A",-2.32341117368076
"g11067","A",3.25463584653812
"g15908","A",-3.89268619383349
"g5659","A",-3.53384597130663
"g4021","A",-12.6385564284193
"g15027","A",-2.02695845080334
"g17835","A",2.50252990727438
"g3515","A",2.30885585277646
"g20358","A",2.70382049913633
"g21495","A",-7.7088375142618
"g7279","A",1.75722468847467
"g11667","A",-10.5858899683585
"g4303","A",-2.09257428631798
"g29504","A",8.00936895812052
"g17351","A",-3.63190620692615
"g15961","A",2.41716463385584
"g296","A",-3.44781897959958
"g131","A",1.76315262285637
"g21392","A",-1.74176677114793
"g10422","A",3.0138799879095
"g21381","A",-4.092839203578
"g22548","A",-3.66760697496001
"g4202","A",-10.7893902721968
"g21450","A",-4.06680801901703
"g22591","A",2.45778937827285
"g21306","A",-3.08550512072057
"g10585","A",4.35874997772004
"g808","A",1.77899930736665
"g21110","A",-2.48105139685286
"g11878","A",-4.73040138629686
"g24054","A",6.92309501905456
"g22390","A",-7.41248082979632
"g10471","A",-10.1938837173368
"g3305","A",1.92160699901351
"g1054","A",-2.72956828009601
"g11747","A",2.02896233936359
"g12046","A",-10.3907732960455
"g5400","A",-1.58004990691146
"g28453","A",2.51316585673357
"g10502","A",3.35495102576816
"g21393","A",-3.98973456761598
"g25237","A",1.59066225018087
"g1169","A",-12.0203224986327
"g20048","A",-3.95236220994661
"g24915","A",-2.5157212124597
"g21308","A",-3.64430904980131
"g10855","A",-9.90192932666849
"g26992","A",-6.22147089520702
"g62","A",-6.07710309479628
"g12004","A",-3.15465978559875
"g1050","A",-3.03101939846499
"g1873","A",-3.92062658665716
"g14364","A",3.27799927498304
"g23278","A",2.26869299888075
"g29669","A",2.38753880049663
"g24052","A",-7.84698842909314
"g18704","A",-5.87572114125519
"g7837","A",-3.8123233767464
"g27527","A",-1.59093203306117
"g7489","A",-3.83886277273341
"g15870","A",-2.76197744095796
"g11297","A",-7.478246777467
"g13316","A",-2.92062628344069
"g798","A",-2.54257742790969
"g16847","A",-2.72207764562564
"g16933","A",3.24454086577637
"g22219","A",-3.07079622185961
"g1408","A",3.37217216663354
"g6593","A",2.2195339002929
"g23165","A",-3.3823479318478
