,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g7262,5185.8274535561,-4.08778690269769,0.476193683162203,-8.58429468352542,9.139541948861749e-18,2.0697454800244703e-15
g4252,126.580349947822,3.46128243532353,0.404328771202945,8.56056427799001,1.12316428714788e-17,2.5104909800132703e-15
g6728,657.09460863044,-7.00241432376767,0.820805487624599,-8.53114949807726,1.44900638065438e-17,3.1972883099285302e-15
g13198,277.325720849517,-5.61549092861156,0.659488182508402,-8.51492275002216,1.6670139315940102e-17,3.63176921223602e-15
g19602,587.895298383331,-4.03409174318034,0.474128650784445,-8.50843275660718,1.76300095843097e-17,3.79287618694442e-15
g18155,7843.03824275164,-3.17014897529413,0.374097329118352,-8.47412886578296,2.36845139436775e-17,5.0325206109214004e-15
g6418,390.95967695827,-2.3993215604726,0.285481060790144,-8.40448593623637,4.29739791122232e-17,9.019818957322841e-15
g18783,93.8059410908083,7.59207679437497,0.908948188457928,8.35259577034338,6.67788799450938e-17,1.38473650931929e-14
g6288,678.860042231554,-4.31685961111794,0.524967371676018,-8.22310079450437,1.98308035475715e-16,4.06318999830062e-14
g19648,1451.82254945041,-4.53961862937456,0.552601297166439,-8.21499814179275,2.12167543766242e-16,4.2460646462334804e-14
g19799,848.789296723693,4.23347238148509,0.515317237215197,8.21527415687279,2.11680083013818e-16,4.2460646462334804e-14
g16530,567.448044911264,-5.37229298448252,0.655893702298913,-8.19079824314913,2.59499281161851e-16,5.13361164146737e-14
g23121,127.121466512161,-3.071323254023,0.376154882054945,-8.16504955949068,3.21303277919829e-16,6.28403490486157e-14
g13735,1005.64737939122,-3.57406422119402,0.437813833895834,-8.16343373481518,3.25632625296933e-16,6.29714956627586e-14
g8719,2050.33401616414,8.93332254572008,1.096001179315,8.1508329683581,3.61426041713786e-16,6.91167067103997e-14
g23794,221.756038401374,2.73540040779433,0.336093457048216,8.13880886530294,3.99185573938265e-16,7.54987133302361e-14
g5991,448.135804844649,3.71507846080121,0.457180187802092,8.12607055144181,4.43430994512425e-16,8.29553352886234e-14
g7179,1137.83961437004,2.53796648405329,0.312601711818915,8.11885024328815,4.70620806790272e-16,8.709521188889641e-14
g10707,91.8237240569009,-4.81676474421862,0.595704097353085,-8.08583450344078,6.17399770056752e-16,1.13043270664327e-13
g8680,282.354800719418,-3.54435473857097,0.445726111628685,-7.95186695618949,1.83721500922033e-15,3.32845342354644e-13
g8378,1309.21271059328,2.78693615881078,0.350876111342448,7.94279253765096,1.97679426172551e-15,3.47776313335944e-13
g13190,69.4810179521647,5.09486058046137,0.641461988279757,7.94257598041707,1.9802497650875902e-15,3.47776313335944e-13
g18154,3249.20135655957,-3.16286869855444,0.398172562780154,-7.94346219254886,1.96614641957856e-15,3.47776313335944e-13
g20235,464.357741989821,-2.58606968357464,0.325727455074444,-7.93936661858486,2.03216286666814e-15,3.5328843533561e-13
g16690,441.833979300806,2.29063485017805,0.291081095111762,7.86940439844969,3.56333589953809e-15,6.13285741669501e-13
g7470,443.336011988725,-5.20018174866801,0.662641746850775,-7.84765187732591,4.23898914163889e-15,7.22348931848979e-13
g7125,1844.15045682844,-5.92615793785488,0.757796598364627,-7.82024879848222,5.2719035475733105e-15,8.89556195659649e-13
g24459,138.15694798621,2.63607405999248,0.337616948267097,7.80788427098458,5.815594713806091e-15,9.71768938051618e-13
g7396,308.112356107156,-3.46151271974264,0.44394916934973,-7.79709245725778,6.334982672625561e-15,1.0483787190245998e-12
g24986,516.059148364437,4.66910456969828,0.599266685131595,7.79136348731447,6.62899087278704e-15,1.08658630391941e-12
g28448,1832.91302247761,-4.02348379748717,0.517004268616225,-7.78230285845827,7.121612859114291e-15,1.15632149922845e-12
g67,222.116817696307,-3.57357619542953,0.460571306627604,-7.75900744142309,8.559662853986921e-15,1.37682576990625e-12
g5489,14466.8892126074,-2.08722417215021,0.269398870575614,-7.74770943801851,9.356493284401192e-15,1.49106116590582e-12
g14683,2136.5494527318,-2.70109747337902,0.349767736675145,-7.72254610746938,1.1402865086827101e-14,1.80050193586589e-12
g23713,269.254820705733,-5.07351589130336,0.657150457805373,-7.72047836388478,1.15893924298556e-14,1.81331848282041e-12
g9618,630.095736982392,-1.61164369435993,0.208987061655414,-7.71169124822316,1.2416121897373101e-14,1.92517003581702e-12
g8159,418.962986824363,2.57683473422392,0.334563368156733,7.70208271282333,1.33866186081782e-14,2.0571169005835297e-12
g8158,838.098316280022,2.54327795027621,0.330574447712155,7.69351039645616,1.43152069238411e-14,2.18034536607282e-12
g605,69.7642276235608,-3.50032610317383,0.455262101998643,-7.68859539989616,1.48759076437685e-14,2.24587058295526e-12
g13076,1204.90909827358,2.83244170608744,0.368478332057871,7.68686096213276,1.50788847788349e-14,2.25671900807415e-12
g14895,26207.7472233487,-2.62949912875227,0.342159125753662,-7.68501825856716,1.5297517496571e-14,2.26970322097831e-12
g29146,750.156457616896,3.06715496689276,0.400066652139644,7.66660992734323,1.76601813608852e-14,2.59785796070252e-12
g23762,43.3192504664931,3.87392666065037,0.505509280603948,7.66341353025619,1.81055184466782e-14,2.64079727106592e-12
g16811,523.701849831972,2.05918196519903,0.269726646001548,7.63432903543098,2.26999496037747e-14,3.2830994338702997e-12
g5413,891.885020114834,2.80121566167354,0.368258756069326,7.60665052902691,2.81290569084826e-14,4.03440998709912e-12
g8679,238.486996045473,-3.93159886970432,0.517642414105148,-7.59520232997311,3.07311884042016e-14,4.3711940795430896e-12
g7105,278.044517368253,2.19473742166193,0.289258983713189,7.5874477379693,3.26268140566446e-14,4.60278767810582e-12
g17539,620.973445926259,2.06315165196028,0.272184416724329,7.57997712282644,3.45615897634052e-14,4.83609367006477e-12
g24993,259.620226607499,3.77212766854313,0.498754998645211,7.56308744531789,3.93612793478395e-14,5.46328208754569e-12
g13705,774.443760817947,-2.67548520537296,0.355534705746334,-7.52524342105115,5.26221941182664e-14,7.2454446637558695e-12
g16564,3020.44108019401,-4.57695166073862,0.608552599229076,-7.52104529096873,5.43400197059329e-14,7.422587929831829e-12
g20424,367.688890093448,3.97780160217046,0.530575987125995,7.49713839052022,6.52261046413738e-14,8.83942115734397e-12
g18713,536.084115745965,-3.10239919982771,0.415300368444205,-7.47025390670827,8.00402275248128e-14,1.0762284030699599e-11
g445,120.468837030137,2.40283799381219,0.322053512635875,7.46098986514992,8.58748573333231e-14,1.1457303640029599e-11
g1078,3827.44319103523,3.04391454230562,0.408128184596554,7.4582316467916,8.76914011957401e-14,1.1609666969076e-11
g28239,2676.17389458554,-2.65064387112995,0.355891807090381,-7.44789236032289,9.484315035134381e-14,1.2460652371732699e-11
g17355,173.10454980983,-3.51194196787157,0.471857094924393,-7.44280843850466,9.85669705384046e-14,1.28517888631552e-11
g17520,184.5007412906,2.88370691063221,0.387941389230997,7.43335717889881,1.05875499652955e-13,1.3700926500203099e-11
g23690,3287.28788837524,-3.2660326876225,0.441658186672144,-7.39493297346479,1.41479620695056e-13,1.81716847147956e-11
g19413,938.983093252941,-3.56006424427829,0.48217702447604,-7.38331372828652,1.54397625980927e-13,1.96839817833907e-11
g11275,89.9453721232209,3.19195208840092,0.433101308735305,7.36998947826249,1.70641504044501e-13,2.15949332802199e-11
g24862,206.947712149168,-2.63459727962029,0.358377508409195,-7.35145821877894,1.9605605272672899e-13,2.4630078273574697e-11
g17984,3101.86724294936,-2.67522651417652,0.36416595368967,-7.34617414690077,2.03960604545453e-13,2.54374345277666e-11
g17640,335.468979378457,-2.50050765952327,0.341647374009348,-7.31897227887035,2.4987720437292397e-13,3.0939831399010005e-11
g82,3593.78177977401,-2.1122510256805,0.288860684904365,-7.31235206473256,2.62506218539421e-13,3.22713894805856e-11
g21493,271.052965232398,-3.08759848653764,0.42230539685308,-7.3112929873634,2.64583907109837e-13,3.22961250018965e-11
g25182,166.642289030847,-3.74125201981793,0.51296354461899,-7.2934072197992,3.02212863342933e-13,3.66294759929241e-11
g25624,83.7609313646058,4.17670412644372,0.575804216474917,7.25368798445689,4.05573819231277e-13,4.8813503516010495e-11
