gene_id,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g18836,70.93443337,68.54632866,54.89147421,50.87661086,54.02545262,36.02959344,108.9900293,126.8550535,96.59797101,93.97426176,130.7816674,142.9319154
g18837,27.7700678,27.44124034,10.02125437,8.992558151,11.29549874,11.16618875,9.061055001,11.13559789,5.567532079,8.489184022,12.20901311,9.647355673
g18838,0.177038817,0.18533511,5.859366073,9.248500191,61.29869946,26.28261397,31.15695275,29.3160771,20.42982584,18.75727392,22.20877623,22.27372996
g18839,5.902805107,5.083070488,0.455144953,0.609010439,12.61499427,11.52330694,46.24111916,43.78559686,36.1055033,38.13705548,26.6913764,30.17233529
g18840,14.36893209,14.85883842,9.171848752,11.25056021,17.23014609,14.45234075,17.24363348,26.98043892,15.77080338,14.12157887,29.4758342,29.14449884
g18841,5.161672523,4.800425519,6.524613518,7.370721215,7.528070062,5.63682163,6.031814099,8.008663366,4.78365868,6.136728946,6.000430529,7.009769899
g18842,9.047443825,10.98366356,8.555393407,7.700328818,5.735526254,5.967019153,6.338030428,6.779083426,4.836697796,3.730293286,6.069325351,5.543587282
g18843,66.82186037,67.10855021,8.266702521,8.076526033,9.078929113,8.915299361,3.666904335,5.437592683,4.416107255,3.747356113,6.925569756,7.29900242
g18844,86.86066631,76.25120534,12.90820105,10.42688052,20.0842787,17.27138895,6.745729713,8.263290799,8.62215103,7.017958221,9.803874193,10.15178602
g18845,22.17644126,20.56473788,6.095191952,11.2078242,19.66706808,17.70452354,41.82586882,76.34284076,33.20637327,40.59587449,63.22594191,40.26260363
g18858,0,0,0,0.139811038,0,0,0,0,0,0,0,0
g18864,0.019907979,0,0,0,0,0,0,0,0,0,0,0
g18879,11.29220561,9.116483778,4.961985683,3.570849494,4.442605426,4.795932313,11.79593572,19.11848337,12.10499036,16.33138306,12.00474391,12.31348708
