,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g25644,1056,417,164,343,1076,1324,182,249,265,336,206,294
g25645,332,114,186,291,1831,2642,1185,1217,1781,2056,1377,1804
g25654,9,16,23,10,35,30,4,18,6,9,2,4
g25655,3,2,1,1,1,1,11,35,25,15,8,9
g25657,21,14,2,4,8,4,0,0,1,0,0,0
g25658,240,222,301,353,368,328,950,770,713,587,135,342
g25659,207,116,103,183,490,230,955,1095,522,341,233,526
g25660,138,94,1307,1381,737,762,1701,2468,1181,1583,397,796
g25661,296,325,82,138,150,119,300,361,247,265,65,195
g25662,610,807,5,10,18,6,19,29,6,8,2,4
g25663,289,203,135,197,1368,1283,515,876,587,647,430,1394
g25664,6,6,578,640,1841,2267,21,25,32,54,33,16
g25665,369,482,958,919,254,316,2,0,1,1,0,1
g25666,834,921,1931,1212,735,939,1,3,0,2,0,2
g25667,8,10,1686,1468,3595,4188,140,89,109,167,98,78
g25668,11,3,54,45,38,39,0,0,0,0,0,0
g25672,1,1,1,0,0,0,0,0,0,0,0,1
g25673,2,1,1,2,3,6,0,0,0,0,1,0
g25674,2,0,0,0,1,6,8,41,3,14,3,7
g25675,1,0,0,0,0,0,10,20,9,8,3,11
g25676,206,99,204,1449,456,147,2845,6342,2104,2949,1831,2884
g25677,12,8,0,0,14,18,1,4,0,0,14,21
g25678,319,318,81,97,66,60,36,86,52,79,7,30
g25679,646,415,229,242,322,216,243,372,214,357,46,179
g25680,246,204,30,132,48,32,157,195,146,183,37,68
g25688,10,3544,2,6,7,4,1124,1714,639,582,403,680
g25689,91,81,17,42,56,32,69,80,47,75,23,38
g25690,34,20,19,22,101,103,32,89,20,16,29,39
g25691,246,142,2440,2501,459,561,147,206,211,327,49,86
g25692,147,115,218,227,131,175,184,374,111,141,12,58
g25693,200,163,190,276,163,137,271,366,263,269,83,195
g25694,56,53,0,0,4,2,235,457,140,127,61,160
g25695,1,0,0,0,0,0,15,45,12,6,10,10
g25696,0,0,0,1,0,0,0,0,0,0,0,0
g25706,1,2,4,0,3,7,17,28,14,17,0,17
g25707,239,162,40,139,33,40,49,82,57,69,15,23
g25715,2,0,0,0,0,0,34,62,24,25,6,6
g25716,19,2130,1,10,7,3,851,1228,507,397,327,498
g25717,88,69,12,17,20,23,57,89,30,42,26,39
g25718,19,6,5,7,7,10,65,221,37,41,38,63
g25719,196,162,1461,1373,129,147,29,57,32,63,14,13
g25720,7,13,11,7,10,6,42,69,31,42,9,15
g25721,239,203,149,169,110,86,306,568,181,195,23,64
g25722,180,169,141,232,142,112,286,367,267,263,92,190
g25723,71,60,0,0,5,0,177,275,99,107,41,101
g25724,4,1,0,0,0,0,3,34,1,8,4,3
g25727,1,0,0,0,0,0,172,124,192,63,204,573
g25728,3,2,0,0,0,0,0,0,0,0,0,0
g25729,2,2,0,0,0,0,0,0,0,0,0,0
g25743,37,93,10,11,48,30,151,330,80,158,66,60
g25744,44,56,59,65,21,11,158,151,151,117,30,54
g25745,13854,13388,14179,16469,13830,16008,52278,38455,47564,41329,11321,20562
g25746,61,55,9,4,4,6,41,55,36,55,17,19
g25747,2978,2859,1202,1414,840,805,1538,1894,1382,1557,339,677
g25748,180,105,148,133,86,76,297,467,193,148,66,131
g25749,263,177,162,175,126,101,268,464,288,340,79,152
g25750,775,821,291,333,238,210,514,1005,295,378,139,278
g25751,323,246,269,337,907,1081,790,1275,679,745,300,655
g25752,345,292,277,239,106,110,230,327,250,354,50,104
g25753,173,117,181,124,190,277,96,127,140,250,29,54
g25754,105,84,32,28,52,51,134,110,118,124,47,103
g25755,880,691,489,411,1075,1363,717,606,686,789,336,558
g25756,360,143,11,22,62,73,1808,1964,550,535,279,432
g25757,6,2,0,0,1,0,8,14,4,6,4,4
g25758,827,448,2,7,11,19,828,1273,703,695,525,796
g25759,659,666,44,45,318,300,306,429,263,370,257,486
g25760,101,100,104,118,103,89,179,176,135,114,66,113
g25761,34,25,1,6,3,5,7,11,1,2,8,17
g25762,204,141,2,6,19,14,99,183,80,102,68,231
g25763,117,68,764,897,884,864,1667,2391,1276,1408,300,661
g25764,19809,18231,33127,39530,26660,31004,37661,30026,40969,37238,7452,14502
