,zoospore-A,zoospore-B,germinating cyst-A,germinating cyst-B,mycelia_48h-A,mycelia_48h-B,mycelia_96h-A,mycelia_96h-B,Early infection-A,Early infection-B,Late infection-A,Late infection-B
g1368,782,695,2986,2673,4814,4726,3015,4133,4474,5389,911,2175
g1369,37,61,67,51,595,428,109,366,149,142,22,30
g1370,35,42,76,51,72,51,108,214,68,122,19,42
g1371,94,225,3780,1243,640,402,531,855,391,546,19,60
g1372,31,37,3,2,29,11,31,52,14,29,5,8
g1373,19,24,0,3,17,12,35,62,30,39,8,15
g1374,1943,2432,535,522,1570,1303,1129,1707,1111,2333,570,1522
g1375,104,148,22,45,83,69,267,381,207,279,203,215
g1376,126,156,29,39,103,61,471,636,340,432,403,379
g1377,5,7,14,25,27,31,68,72,74,65,23,43
g1378,379,464,636,288,264,228,153,72,225,332,6,20
g1379,20,3,22,31,121,126,33,141,65,75,2,12
g1380,2882,1856,3809,6558,3605,3691,11473,37165,12675,16680,3807,4259
g1381,151,153,117,241,83,69,231,402,237,251,78,117
g1382,60,45,78,113,59,34,77,198,84,98,39,71
g1383,172,230,109,126,178,122,297,270,216,220,95,242
g1384,146,174,39,54,185,139,179,208,121,139,50,136
g1385,147,152,1074,476,5238,8086,168,331,258,449,30,62
g1386,460,270,1012,2445,3676,5825,6349,30321,6175,8232,1070,1641
g1387,154,104,90,120,3865,1275,1185,498,516,660,100,838
g1388,168,140,58,100,262,243,266,351,182,177,81,180
g1389,135,136,153,151,150,113,331,292,309,232,74,156
g1390,32,23,26,17,65,78,55,165,35,30,7,22
g1391,1146,1249,303,443,442,301,521,811,444,542,135,402
g1392,346,270,151,209,210,132,304,553,251,343,125,217
g1393,161,91,157,139,210,149,478,837,365,491,115,354
g1394,2628,2686,2413,2059,1909,1729,1731,2718,2188,2790,474,1387
g1395,300,191,94,159,178,185,498,526,387,401,123,233
g1396,324,251,176,247,803,775,592,817,524,613,175,448
g1397,4862,4672,1617,2239,4045,4776,8520,10924,6310,7276,3484,7531
g1398,381,333,188,243,416,588,832,1104,635,581,178,301
g1399,15,2,14,21,199,155,107,143,67,68,18,52
g1400,4,11,0,0,0,0,159,456,111,113,29,29
g1401,83,112,41,35,35,38,56,122,37,35,18,36
g1402,1546,1234,1222,1251,1457,1083,2253,3406,2089,2315,687,1691
g1404,533,540,216,287,418,430,309,577,187,202,180,290
g1405,521,376,260,353,721,957,783,1001,655,647,306,629
g1406,2461,2045,675,534,1133,650,456,462,567,562,155,387
g1407,7392,6133,2818,2864,2652,1885,1357,1528,1777,2070,579,1354
g1408,10,5,35,77,140,101,349,379,194,177,98,228
g1409,1317,1416,793,710,842,935,869,1363,872,1135,277,603
g1410,213,122,222,295,396,281,313,347,286,362,205,457
g1411,1958,1625,1084,1034,1599,1554,1862,2345,1488,1600,411,1025
g1412,299,235,254,267,787,838,421,656,488,647,168,482
g1413,203,167,66,73,117,99,359,567,214,266,99,210
g1414,59,87,258,180,457,342,1632,1216,721,817,127,236
g1415,459,335,682,622,681,618,1362,2366,896,1064,295,571
g1416,905,785,713,628,1226,1568,6475,8813,5058,5712,964,1919
g1417,944,913,571,725,1518,1610,606,1185,592,716,181,577
g1418,150,182,286,348,41,39,0,0,0,1,0,0
g1424,49,42,120,173,169,143,313,406,239,257,61,183
g1425,1615,1510,907,870,733,600,1023,1707,751,926,328,725
g1426,175,210,61,74,87,95,78,119,78,72,44,93
g1427,1277,889,1318,1629,1090,946,999,1045,1207,1223,944,1550
g1446,9,0,6,0,4,0,0,0,0,0,0,0
g1447,136,166,66,117,72,80,318,463,319,315,83,185
g1448,427,401,116,174,156,116,560,668,454,503,233,401
g1449,2188,3089,27,59,68,52,170,163,118,114,82,101
g1450,39,72,11,8,104,119,110,131,116,123,19,31
g1451,3136,2905,9347,10581,10473,8438,13263,15994,13398,14071,3143,6504
g1452,610,671,168,172,590,844,210,467,145,173,52,121
g1453,4700,5078,1479,2192,1873,1549,1294,1979,1056,1267,399,921
g1454,1,0,1,0,5,4,19,21,13,13,11,22
g1457,40,27,0,1,2,1,3,0,0,0,0,0
g1458,1,0,0,0,0,0,22,53,14,24,6,7
g1460,65,55,51,76,59,47,105,137,104,122,26,54
g1461,435,424,160,169,133,120,53,72,42,35,21,50
g1462,1979,2904,29,67,71,55,125,126,110,98,76,81
g1463,55,60,5,8,73,71,134,159,115,160,37,59
g1464,2500,2311,7359,8433,7407,5868,8340,10541,8360,7626,1577,3475
g1465,775,1082,118,132,103,153,161,346,125,119,56,98
g1466,4616,4549,1547,2181,2089,1809,1514,2433,1344,1744,466,997
g1467,585,443,212,235,515,434,926,1414,877,1067,285,763
g1468,762,719,1659,1279,958,879,1406,1821,1368,1823,456,932
g1469,517,361,352,280,498,440,810,1102,782,840,180,533
g1470,214,154,139,139,132,112,238,342,172,139,44,127
g1471,93,57,360,313,375,257,1258,1445,995,1389,333,512
g1472,326,370,349,505,328,271,748,945,615,923,195,289
g1473,1021,926,266,470,1103,920,637,1157,410,524,224,461
g1474,1099,959,566,587,1757,1941,1248,1564,1107,1399,336,746
g1475,441,345,1223,1122,792,656,1476,1673,1102,1052,251,483
g1476,158,173,135,168,100,90,265,427,236,239,47,84
g1477,98,97,4,9,2,6,32,71,38,33,5,12
g1478,128,115,747,689,384,368,576,840,473,585,116,317
g1479,273,247,755,551,362,282,688,1096,588,715,166,434
g1480,699,703,2671,3207,1709,1461,426,326,535,462,54,230
g1481,129,145,242,234,124,77,362,626,263,460,53,104
g1482,114,126,81,130,38,23,719,1139,1119,1029,141,131
g1483,1304,1402,307,404,262,225,916,1924,854,1301,330,380
g1484,105,95,32,58,144,146,128,298,97,94,24,62
g1485,53,34,17,30,72,52,152,419,149,164,59,91
g1486,178,130,20,37,188,196,67,83,134,89,20,45
g1487,21,24,12,10,27,24,69,91,35,30,12,35
g1488,272,523,2,2,19,31,8,11,10,10,3,5
g1489,436,407,261,246,432,445,538,735,496,676,142,300
g1490,8871,6563,2598,3417,2149,1726,10092,18409,8467,8034,4638,4637
g1491,3138,2559,3203,3232,902,533,4240,5967,3338,3488,880,2017
g1492,807,695,692,831,612,407,1391,1535,1164,1222,306,658
g1493,3414,1127,1892,1552,2405,1971,1422,1758,1434,1647,398,883
g1494,285,45,3,2,97,112,143,246,124,143,65,166
g1495,83,73,317,454,189,128,313,229,176,194,41,112
g1496,219,161,286,298,114,90,288,451,215,256,42,108
g1497,181,76,70,65,81,102,105,110,128,155,40,141
g1498,112,21,294,178,962,1166,534,688,705,779,161,426
g1499,413,159,555,499,1298,1548,572,824,788,890,121,425
g1500,1131,718,1515,1094,631,544,618,1311,1226,1758,246,396
g1501,1613,1547,2034,1866,4002,4568,4277,5738,4491,4728,1923,4240
g1502,183,154,229,181,72,61,568,771,436,384,103,224
g1503,110,89,108,122,17,4,279,588,347,367,54,90
g1504,459,457,21,27,91,73,147,185,85,116,28,91
g1505,2356,3928,6,1,24,21,111,119,145,198,40,47
g1506,134,149,63,90,310,323,445,533,473,599,101,155
g1507,264,267,155,231,772,651,665,971,747,817,241,493
g1508,65,41,65,80,543,436,492,699,521,471,201,486
g1509,74,81,38,64,162,131,320,444,271,269,89,218
g1510,1349,1441,1911,1863,2462,2365,5355,6076,5510,5373,1164,2790
g1515,25,40,75,77,136,132,373,496,290,207,46,125
g1516,80,93,281,274,124,109,911,1101,585,669,163,379
g1517,8495,9511,22479,36387,30579,32626,26476,44525,20509,22540,4511,12538
g1518,10,5,1,0,12,4,14,17,10,11,2,7
g1519,1606,1424,757,846,749,582,1761,2605,1335,2067,562,1126
g1520,0,0,0,0,1,0,0,0,0,0,0,0
g1528,0,0,1,0,0,0,0,0,0,0,0,0
g1529,1,0,0,0,0,0,0,0,0,0,0,0
g1535,1998,1945,392,420,640,645,1273,1770,1349,1375,452,919
g1536,292,204,195,319,583,473,188,172,238,181,82,275
g1537,2582,3003,11743,10151,10365,7962,4305,4028,6773,7271,726,1359
g1538,212,196,126,204,370,339,1442,1803,854,792,667,1300
g1539,1653,1534,958,1011,781,873,2787,3876,2942,2967,1061,1353
g1540,1050,541,671,541,869,578,412,392,797,614,108,534
g1543,43,9,26,32,95,69,153,171,111,98,66,146
g1544,465,367,3527,3586,2121,1521,8572,18052,5582,6210,1140,2284
g1545,42,26,116,460,86,45,835,2302,512,821,217,427
g1546,122,34,177,564,27,23,1337,4269,739,1158,289,683
g1547,538,658,1,2,6,6,24,90,23,4,34,48
g1548,1801,2020,235,341,329,288,760,1522,541,1000,272,518
g1549,99,124,37,39,53,56,113,157,92,91,32,58
g1550,51,31,0,0,4,12,18,28,12,18,7,13
g1551,436,216,156,367,642,406,157,92,216,205,10,54
g1552,16,16,0,0,2,0,17,32,7,1,19,25
g1553,3,3,0,0,7,17,1,1,1,0,0,1
g1554,350,164,588,520,813,873,646,1040,547,724,160,348
g1555,333,253,175,276,429,469,231,440,255,277,94,161
g1568,5,6,2,2,3,1,39,61,21,40,5,14
g1570,32,25,59,63,60,41,189,410,251,358,125,104
g1571,73,82,38,72,87,78,63,71,35,47,11,21
g1572,456,269,201,397,573,707,3542,13465,1799,2013,835,2064
g1573,305,94,87,213,40,52,3877,14964,1750,1894,835,2017
g1574,2,0,0,0,0,0,218,232,169,127,105,189
g1580,343,139,86,286,58,60,4838,17582,2191,2467,1065,2413
g1581,246,152,56,179,242,323,2094,8838,1130,1189,499,1255
g1582,297,341,174,199,410,390,281,305,153,199,82,164
g1583,94,94,73,91,177,149,150,187,124,119,23,80
g1584,323,172,567,823,408,295,1710,3063,2049,2789,910,785
g1585,847,800,2729,2981,2293,1990,2377,2827,2408,2565,720,1734
g1586,1927,2162,1342,828,2480,3262,1367,2108,1380,2014,347,603
g1587,64,41,650,603,925,1212,914,1187,724,812,212,487
g1588,269,177,64,128,144,108,183,231,163,151,38,131
g1589,50282,47313,63731,84581,57326,73127,104024,96678,104397,109852,25701,47630
g1590,238,162,88,92,26,14,313,483,338,413,53,114
g1591,1205,1034,478,539,605,602,819,1640,575,1183,286,467
g1592,2360,688,414,805,2332,1472,962,1677,1447,1669,431,1119
g1593,161,81,9,19,80,47,55,117,43,49,21,36
g1594,249,173,13,43,232,129,230,255,294,454,187,851
g1595,621,766,135,174,185,135,218,272,199,226,38,153
g1596,87,45,26,46,81,49,361,453,286,249,130,191
g1597,374,313,329,378,635,441,1231,1905,909,1120,454,757
g1598,28260,25413,17578,20788,12229,9652,8487,7909,11058,13713,1149,2260
g1599,383,341,176,194,98,62,500,691,329,431,101,145
g1600,500,508,545,836,1017,897,881,1554,629,915,260,578
g1601,1877,1790,5423,4133,2291,2068,3548,4250,3726,3709,581,1143
g1602,12,11,19,31,107,105,38,35,19,25,8,17
g1603,859,1367,240,276,355,241,262,377,337,550,51,113
g1604,329,431,360,298,370,335,231,569,442,672,121,221
g1605,3881,3094,744,921,1495,1347,1754,2268,1604,1724,686,1392
g1606,108,64,25,11,18,10,32,12,39,33,7,16
g1607,888,635,105,93,597,553,179,231,259,626,153,437
g1608,978,1477,145,207,342,331,257,383,222,427,90,329
g1609,3537,2867,3915,3488,3840,3149,3830,6597,3047,3332,1060,2356
g1610,107,144,121,156,335,311,153,320,131,204,116,161
g1611,25,10,38,40,46,38,39,65,52,72,21,27
g1612,1,2,2,1,3,4,121,199,57,89,12,34
g1613,7,0,2,1,1,1,139,263,90,85,10,27
g1614,1345,1053,879,713,876,893,647,955,778,1088,227,528
g1615,33,18,11,25,73,91,87,180,103,68,31,60
g1616,857,776,488,416,513,504,723,1116,868,1223,253,590
g1617,35,27,3,4,17,18,27,60,31,28,12,14
g1618,0,0,1,0,1,0,16,17,3,2,0,2
g1624,1,2,4,2,2,0,5,6,4,3,1,0
g1626,0,1,0,0,0,0,0,1,0,0,0,0
g1628,9,11,8,3,10,4,16,30,15,23,5,23
g1634,7928,9373,4857,6195,5518,6630,4292,4202,3177,3511,1102,2338
g1635,181,117,8,40,64,24,81,167,61,78,31,57
g1636,1678,1282,1505,2317,1537,1280,2714,4278,1709,1912,1111,2250
g1637,809,523,2674,3340,5811,6537,5857,6123,5304,5342,2168,5112
g1638,3129,5964,2,11,89,57,611,1071,1690,836,778,2114
g1639,1283,1134,716,697,410,425,864,1393,757,1156,195,394
g1640,162,152,267,306,250,220,443,439,388,347,98,263
g1641,427,411,777,1055,3943,3074,2608,3395,2459,2070,923,2714
g1642,176,131,234,216,323,213,475,780,409,451,148,331
g1643,2495,2089,1060,1423,1691,1954,1662,2599,1608,2020,499,972
g1644,80072,71368,4277,5232,4359,3919,1598,913,3105,2586,3315,6963
g1645,1538,1374,2338,3634,3198,2901,3092,4233,3757,3812,945,3150
g1646,90,58,16,30,40,44,99,188,90,89,30,108
g1647,263,246,117,168,183,118,544,727,372,323,183,316
g1648,13,1,4,3,8,4,62,112,48,49,35,57
g1649,17,3,10,21,218,287,24,34,36,72,5,23
g1650,57,26,547,654,2224,3483,643,512,470,752,172,264
g1651,6,4,3,7,60,91,34,54,32,28,9,21
g1652,56,11,96,141,461,589,2501,4132,1143,1283,493,1075
g1653,164,163,99,85,56,76,147,338,144,197,24,45
g1654,46,24,296,352,292,260,365,479,482,480,112,299
g1655,657,634,470,931,925,1016,1276,1684,1315,1388,480,1112
g1656,706,751,445,782,681,617,531,618,731,584,162,543
g1657,1475,1320,1092,1056,1744,1972,882,1487,1173,1508,467,1125
g1658,1287,1218,305,250,563,605,394,620,297,396,68,225
g1659,60,45,0,3,33,18,20,25,15,7,17,18
g1660,21,31,5,13,10,14,21,39,16,21,6,15
g1661,22,33,17,14,18,9,21,40,21,26,6,28
g1662,38,44,77,69,72,51,99,150,82,94,25,56
g1664,14,8,0,1,1,2,0,2,2,1,1,1
g1665,1,2,0,0,1,2,0,1,0,1,0,0
g1666,2,1,0,0,0,0,22,30,59,32,35,44
g1667,22,11,0,0,0,0,6,7,6,10,3,3
g1668,103,111,24,23,87,99,76,150,225,274,31,67
g1669,76,78,17,24,112,91,183,107,102,105,31,92
g1671,155,78,193,397,1173,780,376,489,365,1161,156,254
g1672,101,69,24,47,18,7,9,24,6,5,10,17
g1673,0,1,0,0,0,0,0,0,0,0,0,0
g1674,0,2,0,0,0,0,1,0,0,0,0,0
g1675,0,0,0,0,5,5,9,18,15,14,5,9
g1678,0,3,3,3,32,16,51,55,36,35,33,69
g1679,19,26,3,5,27,30,3,8,6,1,1,2
g1680,2425,3140,162,349,386,259,542,851,330,573,156,321
g1681,6,3,1,7,9,1,3,11,0,0,0,0
g1682,61,54,106,117,116,75,449,484,452,366,101,195
g1683,209,234,52,118,82,81,46,37,34,35,9,7
g1684,54,33,37,56,59,47,391,670,292,257,159,249
g1685,35,12,4,32,33,12,119,227,110,85,80,127
g1686,5,5,17,26,195,251,36,36,48,58,11,21
g1687,62,31,701,790,3048,5309,2221,1427,1725,2308,665,903
g1688,40,15,78,136,301,424,1089,1759,445,551,218,439
g1689,191,184,88,107,28,23,60,149,52,78,11,24
g1690,47,17,222,301,273,262,440,507,513,458,128,314
g1691,707,676,517,986,1070,1201,316,408,312,352,125,276
g1692,700,693,442,763,604,619,413,449,616,504,158,411
g1693,1421,1383,1038,991,1804,2064,936,1571,1274,1450,437,1188
g1694,658,557,345,303,624,757,241,355,208,283,38,128
g1695,50,20,6,8,13,10,4,27,17,4,17,22
g1696,56,40,28,41,38,26,45,79,33,52,10,26
g1697,32,10,41,42,52,34,40,74,50,61,10,21
g1698,0,1,0,0,0,1,5,6,1,6,0,0
g1699,1,1,1,0,0,1,30,45,78,47,37,62
g1700,19,4,0,0,0,0,4,5,4,5,2,2
g1701,101,60,29,24,106,93,56,109,157,156,20,71
g1702,51,22,5,10,82,64,92,76,56,46,27,72
g1703,14,3,0,1,2,0,1,1,5,7,1,1
g1704,205,86,317,602,1257,851,580,879,723,1860,313,506
g1705,3122,2518,1244,1708,649,349,0,0,0,0,0,0
g1706,999,862,229,406,148,75,11,30,10,12,27,26
g1707,18370,12406,2987,4820,4987,5138,8879,16212,13131,19500,8700,10423
g1708,1811,1345,2755,4402,4828,3376,4022,8828,5957,12791,3136,3894
g1709,134,86,4,14,168,92,71,65,98,75,27,57
g1710,82,74,76,147,2576,1845,1663,747,2337,1648,639,1338
g1711,22,24,17,23,193,231,132,110,176,175,34,67
g1712,109,107,35,69,74,57,212,155,391,402,133,239
g1713,199,263,37,53,174,213,139,182,160,114,47,157
g1714,2055,1679,502,508,2328,2259,742,1511,896,1067,297,797
g1715,62,57,228,284,307,342,887,860,835,756,186,385
g1720,0,0,0,1,0,0,2,1,5,7,2,5
g1721,103,180,73,60,70,58,158,259,92,162,39,42
g1722,100,52,121,112,90,53,38,36,73,68,22,45
g1723,58,16,5,8,9,4,11,12,10,9,5,10
g1734,0,0,0,0,0,1,6,18,5,13,3,7
g1736,2,1,0,2,1,0,26,57,37,44,17,30
g1737,1,0,2,0,1,0,25,35,25,36,19,24
g1738,0,0,1,0,0,3,43,33,45,43,17,23
g1739,138,218,96,98,52,63,318,611,137,240,28,75
g1740,57,61,8,31,24,25,85,308,41,98,25,64
g1741,635,467,10,10,40,15,110,179,66,54,30,42
g1742,8,8,0,0,2,0,17,51,32,29,7,19
g1753,8,15,1,2,2,1,17,18,17,14,6,5
g1754,1217,1060,207,210,289,221,219,338,353,486,106,141
g1755,187,98,1,0,3,1,265,456,327,370,63,127
g1756,683,416,3,5,1,1,154,331,287,430,49,135
g1757,83,43,4,2,7,12,183,323,226,284,110,119
g1758,13,10,1,0,0,0,16,17,14,9,3,14
g1759,278,297,1,1,5,4,107,243,96,87,58,98
g1760,36,54,3,0,5,3,23,45,33,16,11,9
g1761,112,95,70,54,94,80,51,100,29,42,16,30
g1762,0,0,1,0,0,0,4,2,0,1,0,0
g1765,44,35,133,224,158,119,11,0,2,7,0,1
g1766,34,35,94,169,115,73,0,0,0,0,0,0
g1772,0,0,0,1,0,0,1,1,0,0,0,0
g1775,0,0,1,0,0,0,0,0,0,0,0,0
g1781,938,325,923,1067,499,597,488,1026,1720,3163,1136,718
g1782,5,2,11,48,2,1,75,114,95,129,86,83
g1783,1661,862,1307,1665,3630,3707,616,968,776,783,218,532
g1784,75,40,47,22,104,137,13,9,12,7,1,3
g1785,23,19,4,10,7,9,13,23,7,8,3,8
g1786,493,294,274,346,424,386,661,1056,613,632,227,506
g1787,345,387,4,1,37,26,53,163,22,13,26,59
g1788,110,81,101,147,121,90,340,474,441,423,105,262
g1789,146,110,124,178,223,202,487,687,589,540,202,530
g1790,10,10,8,9,20,20,52,103,141,130,5,12
g1791,9,9,22,35,90,87,351,576,292,274,49,132
g1792,105,99,256,332,215,111,536,675,470,453,105,257
g1795,10,8,7,4,6,12,60,122,115,79,6,53
g1796,1,0,0,0,2,1,160,250,36,29,15,48
g1797,0,0,0,0,0,2,1,2,0,2,1,0
g1798,0,2,0,0,3,1,209,222,34,42,14,44
g1799,0,0,0,0,0,2,5,12,0,0,0,0
g1800,0,0,0,1,0,1,43,51,3,9,2,10
g1801,2,0,0,0,0,0,0,1,0,0,0,1
g1802,0,0,0,1,2,1,31,66,7,5,4,9
g1803,0,0,0,0,0,1,0,1,0,0,0,2
g1806,0,1,0,0,0,0,0,0,0,0,0,0
g1807,0,0,0,0,0,1,1,0,0,0,0,0
g1809,0,1,0,1,1,1,51,84,9,17,3,7
g1810,0,0,0,0,0,3,10,13,18,14,4,6
g1815,0,9,0,0,3,7,1,0,1,0,0,0
g1816,0,4,0,0,6,8,0,0,3,1,0,0
g1821,2,1,0,0,0,0,111,128,17,30,3,4
g1822,842,819,84,139,120,69,120,174,114,140,32,61
g1823,8,3,5,6,13,7,41,65,70,72,16,42
g1829,0,0,0,0,1,0,20,31,3,6,0,6
g1830,8,6,0,1,1,1,39,84,5,15,5,12
g1831,5,4,0,1,4,11,60,114,11,17,5,17
g1832,3,3,0,0,3,4,31,39,2,5,1,4
g1833,7,11,0,0,21,16,159,397,16,26,11,30
g1834,3,10,0,0,2,0,2,9,1,1,0,0
g1835,6,7,1,0,3,9,113,306,25,22,13,13
g1836,3,4,6,7,2,0,204,495,173,121,13,15
g1847,1,0,0,0,0,0,0,0,1,1,3,0
g1848,1,0,1,1,0,0,0,1,0,0,1,0
g1849,19,12,5,3,40,45,69,216,83,111,22,73
g1850,3,1,0,0,9,19,103,110,59,68,20,49
g1851,28,21,3,5,65,88,626,781,89,112,38,156
g1852,92,35,48,77,333,265,122,215,137,118,22,63
g1853,119,121,59,47,407,390,1807,3425,720,699,403,1334
g1854,8,4,0,0,6,1,77,153,15,23,19,68
g1855,1445,1264,428,444,188,98,576,1033,405,779,133,238
g1856,145,69,156,248,288,220,340,571,443,483,150,321
g1857,191,144,333,342,419,219,667,585,615,608,40,94
g1860,11,8,2,1,10,9,5,12,10,3,3,3
g1861,2399,2544,1435,1712,648,471,3412,4011,3121,2911,532,1056
g1862,63,118,14,36,51,39,19,56,18,20,4,7
g1863,20,31,3,15,25,11,66,181,75,58,14,35
g1864,17,5,566,1257,774,448,206,276,344,613,50,216
g1865,0,0,0,0,1,0,0,0,0,0,0,0
g1867,9,8,410,1040,462,244,216,271,369,648,62,221
g1868,5,8,35,40,82,76,47,40,26,34,24,33
g1869,202,116,926,1112,1102,752,3471,3603,2828,2300,570,1337
g1870,1310,1309,1444,1353,705,455,1215,1991,883,1405,280,619
g1871,2,3,0,0,10,1,6,2,2,3,0,0
g1872,1673,897,0,0,11,4,0,0,4,0,2,1
g1873,996,1693,93,40,1517,716,832,558,339,421,8,52
g1874,127,104,2,19,17,10,115,80,76,73,22,74
g1875,185,184,2,10,29,38,487,372,343,241,93,158
g1876,2023,2013,785,842,785,688,4681,4559,4595,3776,1276,2323
g1877,283,281,20,58,33,19,308,381,262,270,96,137
g1878,58,56,35,44,109,86,264,349,212,251,72,136
g1879,138,102,23,37,112,121,94,137,60,80,23,56
g1880,2727,2626,3751,3009,4869,6358,4410,6568,3445,3244,921,2233
g1881,35,32,10,13,30,43,93,184,75,43,17,57
g1890,0,1,0,0,0,0,168,65,102,58,27,22
g1892,2,0,0,0,0,0,0,0,0,0,0,0
g1893,4,0,0,1,0,1,0,0,0,0,0,0
g1894,788,914,166,284,2022,1510,937,531,751,1104,607,1191
g1895,274,237,135,196,370,309,1312,1742,950,912,328,735
g1896,23,42,379,1343,14921,7219,3371,1989,4072,6169,799,5561
g1897,1203,1348,4,11,607,346,141,159,259,404,97,1102
g1898,101,56,48,44,80,46,118,245,167,211,42,156
g1899,170,202,26,76,122,110,179,344,173,207,71,161
g1900,663,335,502,493,1893,1835,785,1073,1020,1235,338,1032
g1901,4,0,0,0,7,3,3,2,2,2,3,3
g1902,7039,7132,975,923,1473,1217,1100,1227,1341,1326,402,1290
g1903,334,205,191,208,70,55,183,216,215,155,82,96
g1904,716,509,158,226,58,57,114,143,153,129,335,724
g1905,172,110,27,28,70,47,88,97,80,42,28,53
g1906,351,315,185,200,320,310,845,1210,510,652,235,416
g1907,1240,849,364,274,649,849,407,489,299,349,37,86
g1908,2369,2096,2395,2117,3243,3368,3767,4323,3551,3752,968,2364
g1909,589,440,586,513,301,245,774,1019,542,664,278,435
g1910,74,30,575,1038,569,180,7061,2114,5124,1950,3575,5256
g1911,45,16,8,20,15,11,105,40,80,32,58,49
g1912,0,0,0,2,1,0,10,4,2,2,1,2
g1913,38,25,124,324,122,94,304,584,265,339,83,142
g1914,457,403,669,789,1075,1023,1286,2116,1180,1508,539,1099
g1915,586,372,691,688,1138,889,1045,1260,1063,1159,324,870
g1916,285,246,118,109,168,161,420,605,374,356,97,225
g1917,218,210,39,63,46,24,107,158,58,103,25,56
g1918,77,43,4,8,19,26,190,466,207,185,106,128
g1919,52,20,1,0,0,0,34,43,46,56,16,36
g1920,67,62,99,105,159,156,301,490,304,324,86,102
g1921,239,156,182,269,327,261,576,730,534,573,188,334
g1924,5,0,0,0,5,6,287,84,154,93,14,26
g1925,6,5,0,1,3,2,113,114,54,78,20,46
g1926,6,6,0,0,1,0,5,5,2,9,11,13
g1927,11,10,0,2,0,0,7,16,8,8,7,6
g1928,1740,1738,488,604,1009,1042,1899,2888,1790,2250,725,1351
g1929,11,6,0,1,56,47,25,62,17,15,6,9
g1930,1785,1204,844,1686,2575,2541,2867,2943,2038,2187,961,2801
g1931,11,6,6,21,70,62,126,144,78,154,60,154
g1932,1348,530,2285,2754,4858,5350,5111,4554,7735,10500,2803,6421
g1933,92,52,85,66,169,271,457,891,853,1397,240,486
g1936,247,168,454,608,1039,720,1353,1843,1616,1704,828,1916
g1937,312,222,2609,2692,5701,7443,1447,2197,2010,2051,545,1385
g1938,69,65,205,158,104,75,154,209,115,115,15,38
g1939,422,465,3123,2520,1855,1180,2761,2809,2689,2737,492,1123
g1940,41,52,65,97,95,60,103,132,107,127,28,75
g1941,545,493,142,144,220,169,169,392,167,202,52,107
g1942,3042,1915,1642,2135,889,591,5378,9329,5180,5580,2866,3868
g1943,480,266,1168,2166,1020,944,1939,3165,1509,3163,755,1021
g1944,16,20,2,11,6,4,22,51,28,40,9,7
g1945,80,53,0,0,2,0,12,19,8,11,8,9
g1946,1602,1178,98,154,317,252,812,1886,697,1423,377,397
g1947,216,151,496,311,325,241,414,583,492,640,95,171
g1948,1148,467,710,600,823,726,1139,1770,1441,1960,580,942
g1949,629,573,927,1056,1310,1363,1829,2211,1774,1631,509,1050
g1950,85,24,174,341,1189,818,364,548,418,550,86,288
g1951,0,3,0,0,0,1,6,2,14,21,0,0
g1952,3,8,2,2,0,1,217,262,271,343,20,87
g1953,12,1,1,0,4,1,564,712,355,373,309,564
g1954,15,15,2,0,10,0,1571,1678,833,1001,855,1710
g1955,2,0,0,0,0,0,1,4,38,41,34,123
g1956,26,14,1,6,9,4,67,63,46,72,18,27
g1958,38,46,66,109,99,79,279,345,217,241,64,121
g1959,880,724,464,592,249,157,865,1640,728,1092,206,400
g1960,628,680,57,88,68,60,68,145,48,82,13,41
g1961,688,314,7773,7322,8648,9676,2664,4002,2311,2707,686,1956
g1962,105,85,60,58,57,66,177,207,171,129,48,110
g1963,87,96,43,71,71,78,202,245,123,137,47,98
g1964,657,634,196,222,758,816,271,385,298,319,100,277
g1965,449,288,226,433,776,842,228,270,574,755,44,155
g1966,118,101,211,367,552,478,618,571,359,548,27,79
g1967,148,108,90,126,1554,1311,1828,1206,807,1188,79,187
g1968,206,149,66,74,176,144,402,303,290,276,60,196
g1969,71,38,51,216,764,479,1366,636,639,444,411,616
g1970,400,597,12,7,63,78,15,26,13,15,4,12
g1971,2404,604,2,0,18,14,23,96,14,26,9,26
g1972,89,51,219,244,235,166,247,262,275,201,55,130
g1973,106,89,49,62,58,48,76,127,57,94,29,47
g1974,65,49,42,52,67,51,135,244,111,136,68,113
g1975,93,175,9,22,39,62,100,104,74,73,21,32
g1976,319,177,3,10,24,31,446,715,223,205,148,308
g1977,688,460,164,152,314,242,804,1226,839,1002,271,788
g1978,136,159,4,4,38,39,23,31,27,20,3,9
g1979,275,207,63,73,589,487,732,1007,697,563,160,332
g1983,0,0,0,0,0,1,0,2,0,0,0,0
g1984,0,0,0,0,1,0,0,0,0,0,0,0
g1992,660,604,629,670,1007,1135,639,855,805,911,188,492
g1993,244,331,305,392,553,433,502,537,421,494,114,234
g1994,2426,2536,2988,3962,3650,3889,5950,6512,5417,5031,1466,3093
g1995,751,608,534,533,369,289,594,679,493,648,133,331
g1996,533,582,770,287,375,407,82,53,151,286,8,26
g1997,4,0,4,5,6,5,36,37,35,81,5,15
g1998,52,24,531,301,701,986,887,541,880,1001,157,371
g1999,41,18,45,45,54,36,33,41,31,33,14,22
g2000,144,71,159,136,171,133,189,272,197,232,78,131
g2001,236,211,34,39,22,26,124,154,101,78,54,111
g2002,78,95,35,68,18,19,153,129,139,159,37,55
g2003,98,93,8,6,15,25,67,71,40,38,13,33
