,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control,TPM_Early,TPM_Late
g17454,0.79270137,0.555503553,0.822693784,0.47882026,0.445468636,1.13452751
g17455,31.63178837,44.35179182,53.16512166,53.83542755,65.84240132,75.20960845
g17456,37.8942421,17.36251403,2.281164951,17.04609766,9.638859136,10.40397271
g17457,14.55543587,1.834693494,3.535625948,3.305574109,1.633614945,5.047560926
g17458,11.79902252,4.905511087,2.339696445,8.576811375,5.560520657,4.722760963
g17459,22.1733324,13.18608271,9.094363674,15.20461043,10.88979348,11.12318931
g17460,38.85179954,21.28482098,21.61140964,23.10156433,23.52063023,31.52111629
g17461,5.746946577,13.46086074,16.26945279,31.57725127,22.48602179,29.81671175
g17462,5.070562435,12.20266682,29.2449362,12.84566657,14.7963864,5.504156165
g17463,9.784766357,7.967737719,13.30404042,14.22254561,9.720336578,11.08539072
g17464,10.71058208,79.86639009,16.92075715,13.66099823,14.97008333,7.868578139
g17465,2.176726444,0,0.407155231,3.145838901,1.754564544,5.692758954
g17466,46.78978907,127.5065665,99.15850852,154.8052846,117.5363296,140.6873058
g17471,7.238679432,6.672630006,5.382147522,5.084732801,4.594369255,4.997416956
g17474,4.596230885,4.73658216,18.99956041,7.211752963,13.03044346,36.84963983
g17475,5.971838116,5.728135947,5.616671368,5.477378081,4.632892986,5.079319469
g17476,206.6950778,487.8618928,557.9000962,251.0120961,281.5976875,219.5969878
g17477,3.504085282,4.182371774,3.436551309,4.335780269,3.968655886,4.055650909
g17478,44.94554983,282.8343998,228.4297887,48.45651202,111.212537,57.93702381
g17479,5.916856932,8.322913415,9.06734334,8.668842288,8.099420827,6.322396197
g17480,636.2235106,60.04229232,40.81541232,79.01663327,68.05274182,112.1895689
g17481,6.496735626,5.334672279,14.93331887,9.422194397,6.814699839,6.791478342
g17482,12.46714929,3.754673051,4.109036999,6.122474505,3.201880531,4.540560304
g17483,1.565716664,3.882165675,4.708564048,4.834763601,4.124269945,5.595246532
g17484,31.99138846,25.21420526,30.24278,37.37887093,32.99820672,30.01356463
g17485,41.35656793,45.29175096,62.42339123,41.49233081,41.9045222,72.46570392
g17486,23.83894126,34.96341543,72.74783436,47.91795521,48.39613334,25.15607948
g17487,3.423854161,5.234785959,23.19518364,15.45923236,10.25708416,11.65764668
g17488,2.682703373,14.08806951,24.6918546,9.997310752,16.24641848,2.46277591
g17489,8.113390474,13.61255471,25.95208281,24.74864693,22.75368506,25.87710431
g17490,178.2925077,296.771939,93.23198449,157.9753927,121.4476948,75.13183333
g17491,3.125177969,3.909425137,2.194745853,6.218051117,3.377177715,2.853769859
g17496,3.94632964,4.716911108,7.536357805,23.62602153,20.69080574,15.69517698
g17497,468.2653607,191.4576933,258.8686456,103.2371217,122.0371717,178.0868845
g17498,1.738140371,12.16424593,13.57879352,17.60984614,11.67429132,13.27259502
g17499,90.53988466,14.75069351,20.07078294,30.47568776,14.48305156,185.502351
g17500,1.36813263,0.117397368,3.733421899,2.916609189,1.22082087,3.785265879
g17501,42.70075749,8.825786458,9.656801798,10.61036863,6.944394972,10.33500613
g17502,8.650478913,10.39776241,4.872949932,9.636502802,6.466970303,6.295259901
g17503,67.8969118,12.48313001,19.10519555,18.64393756,15.92488215,17.87342336
g17504,30.30278724,10.66855715,5.789739699,8.067943659,5.43632182,7.377925715
g17505,10.36982646,5.550984623,5.31271576,5.699138215,4.925933315,7.17388177
g17506,75.71806669,37.231396,5.815464938,34.55003292,27.77486417,13.83315678
g17507,4.528900214,1.040380883,0.295930365,4.98836128,3.166742119,2.015270306
g17508,8.953861873,2.771390629,12.31220786,10.56999768,6.205887433,7.745020259
g17509,9.765598882,68.27915722,52.92161061,168.684059,108.0971193,129.2789759
g17510,9.19737055,4.617848126,6.861192652,11.63887618,5.794020657,3.748933768
g17511,17.13744572,7.009109592,13.4516373,12.47947094,14.07978423,12.02189999
g17512,23.32357158,16.53418316,12.58454185,46.64816526,36.44706342,37.97728181
g17513,9.995040582,9.860311257,6.609239206,19.51590722,13.14350002,16.01512328
g17514,2.983777111,9.683643204,25.66431325,45.20729765,35.17795161,43.26238135
g17515,598.8219962,806.8116126,652.3356338,820.0265104,802.4173878,1403.431322
g17516,43.58611972,45.31961133,19.39106032,59.51237536,51.85499123,39.55086812
g17517,5.66853653,15.86955679,13.55211752,31.25892543,21.05979642,21.79179503
g17518,1.786163067,6.810904364,86.83376668,29.95163558,20.82626896,54.31523125
g17519,18.54189399,44.32377059,34.58406946,60.63983985,47.72118779,48.72007155
g17520,9.255450238,0.272029472,6.285523718,10.12096985,5.702721609,48.86270111
g17521,4.676463213,0,0.186773785,2.495379953,1.435600617,3.11393098
g17522,98.5858917,0.480886416,0.965587899,5.36713455,1.893522266,1.902156558
g17523,20.05575935,20.43250457,14.92165574,38.4579188,27.93083285,32.36090629
g17524,7.336290385,3.529590999,6.208455351,18.81382402,24.18650034,36.53915782
g17525,4.529054436,0.070527454,0.337425511,2.677907421,1.906985043,1.794236892
g17526,88.22164194,35.478547,27.13131577,32.57489751,26.42637577,32.85837064
g17527,1.050299616,0,0.082876213,0.311298403,0.098693433,0.110290819
g17528,47.18000519,33.97891234,36.57149502,67.64853572,68.70395813,73.26580633
g17529,5.181908476,20.56850606,14.77984509,37.30678945,21.35011688,22.57216461
g17530,31.09654361,22.96688726,12.34451142,21.82861407,15.37663295,11.45489977
g17531,16.90113425,11.23129855,24.33868665,20.52747369,17.42199656,16.72063133
g17532,0.722041582,0.039838754,3.714090746,0.44177338,0.176963462,0.191144529
g17533,1.606907004,0,2.047592901,1.727124815,0.572695821,1.120052846
g17534,1.136773723,0.28870749,2.403947763,2.979413348,0.735458996,2.745295739
g17535,18.85085673,19.42812678,42.80801877,18.53672284,14.31750423,17.08857082
g17536,44.765666,47.50195387,82.21900563,41.32792172,33.6016626,36.37054397
g17537,1.514398499,11.69810927,51.10515173,75.59723269,59.00061486,92.68407654
g17538,18.56210469,115.2914954,154.1938488,82.88745701,67.70199741,87.46473588
g17539,39.68619657,4.434212552,35.80923971,54.03445063,32.51386247,156.2475783
g17540,3.353012444,7.217078236,17.28353553,22.48987029,17.62751611,19.45821271
g17541,3778.629064,5490.018846,5078.370242,2549.41047,3025.948021,2456.363952
g17542,1.281320514,0.309659605,0.0936389,1.006223789,1.057639989,0.276839684
g17543,127.9732329,58.85468464,41.00763054,31.29887158,50.79492118,51.66387467
g17544,10.79514798,4.757791234,2.145839098,3.309303448,2.601471186,3.406314033
g17545,451.0667251,24.74510489,23.10846472,28.07424648,23.94003568,34.26447385
g17548,270.6936639,39.68639633,148.6773332,92.96573495,95.16858125,280.618404
g17550,11.46431923,18.04691427,6.579789217,15.17362094,9.78055624,12.97151062
g17551,5.515536239,25.23566679,9.569329107,31.50494755,29.07936219,34.33840423
g17552,60.76142029,1.48214756,1.89354427,7.47299914,7.273334502,8.312151796
g17553,28.60959775,74.87260383,63.67970901,61.05620496,69.30867243,49.42223526
g17554,34.00898481,37.34325391,22.00097132,231.9582128,234.6452515,318.5217206
g17561,9.098075631,2.568470925,5.290383014,4.104133805,5.910411805,9.739235416
g17562,0,0,0.071613722,1.350924058,1.305785784,2.352106326
g17581,0.040236095,0.087285706,0.577645371,0.246159777,0.375399707,0.746820163
g17587,2.685207215,0.075535106,0,10.63606857,6.308661015,8.013690293
g17588,0,0.124289583,0,0,0,0
g17590,0.942840738,1.754469814,0.771620309,96.08397697,58.31960065,83.795829
g17594,19.19966348,104.9255378,47.70790112,171.825766,298.3118005,139.8670927
g17595,272.0287091,134.3923619,115.7713479,177.1249825,164.507721,246.9843099
g17596,6.149826687,3.637264852,4.156275671,9.793207454,7.358324206,14.31347384
g17597,37.51013748,10.62238654,2.431409704,11.91667907,12.43915794,12.89727069
g17598,10.27505808,8.139501133,10.24704209,10.96633031,4.631084253,6.652873145
g17599,40.8939609,11.78682379,19.43817855,17.83670814,14.83290727,33.73508802
g17600,11.84064747,22.40576863,30.67389229,11.19266547,13.51826534,21.54220138
g17617,0.01049341,0,0,0,0,0
g17625,3.551668242,0.777011209,5.548240971,3.214270183,3.217361243,3.911114287
g17626,15.74465409,14.34314801,63.07264642,117.7674793,121.2370508,167.3407419
g17627,3.798875884,44.04457559,43.89826571,8.253306948,5.168810729,7.635307061
g17628,0,0,0.03454115,0.430277499,0.325115078,0.76500314
g17629,38.19811972,1.483750664,8.431797431,63.98572878,49.74618099,135.2717375
g17630,8.645744761,9.974361039,16.44287807,46.88592376,32.73230021,53.71522231
g17631,7.542161606,2.68137861,14.20842021,74.01127742,45.05607984,114.6472252
g17632,45.57649893,246.0581461,222.1011541,294.2561119,232.8695184,218.324797
g17633,1.286067972,1.002255594,1.673536666,4.709158118,3.18284162,3.595054549
g17634,7.951763941,13.50209393,13.1540386,62.20908068,58.28313517,59.07332889
g17635,2.852181547,1.396029834,13.08307561,6.713236463,2.022875532,4.011987388
g17636,3.5506441,4.095166164,15.13629123,17.81470953,9.785788481,20.14072514
g17637,48.359729,24.1841068,24.93553633,17.63734857,14.12125277,12.78386596
g17638,1.942773508,2.081965045,4.22242001,10.59449044,5.831431701,5.034098914
g17639,0.67266439,6.829518471,15.78286122,12.60288105,9.889013066,11.48326863
g17640,3.876603304,15.79360432,41.22089663,30.07462034,16.34154067,3.293077041
g17641,3.50500985,7.54135405,10.07781785,24.72599606,18.1764532,25.20982778
g17642,18.41596325,10.31802576,13.60807257,23.37500972,19.22131554,17.73064615
g17643,60.07346545,94.8693418,49.8123973,105.8247895,74.44825618,76.38779577
g17644,2.640477534,4.885541161,6.718286275,11.683259,2.83157083,4.540685275
g17645,5.49036154,1.535351862,4.607732881,8.260547518,2.461681339,2.587731488
g17646,2.260247542,1.00962934,3.003659164,7.930846119,2.365284242,2.894632064
g17647,13.13782489,5.872106193,7.073533353,11.84014887,10.22436822,10.93141497
g17648,12.61709937,16.07234598,14.89725634,45.95121252,44.06147781,40.51297612
g17649,42.51511265,11.58857356,21.38471166,16.99680614,13.08435358,11.34758163
g17650,3.016461219,0.164075512,1.228786273,1.476042463,0.762820714,0.984722229
g17651,5.850406194,7.485059713,6.913206032,18.63250817,11.9347465,11.68059483
g17652,0.194376819,0,0.044897942,0.292486271,0.104009966,0
g17653,22.19462243,7.086050722,87.68794828,21.04730498,8.498733096,17.31365705
g17654,6.676961037,1.608543914,20.80510898,16.6487135,11.45684952,18.52514474
g17655,16.4420133,3.893361741,27.83794684,2.729575965,26.74194222,13.72829895
g17656,7.262187433,8.116500277,25.77328879,4.160696399,21.04225154,8.647029941
g17658,0.005807277,0,0,13.57649168,6.635216805,30.12936443
g17660,0,0.022673058,0,0,0,0
g17665,68.85298071,29.8122941,40.18604489,27.80605058,32.04760337,57.4323837
g17666,27.29167587,0.032146334,0.317534039,1.662769616,1.026721661,0.946886281
g17667,81.03115073,3.556164921,3.132631115,2.158566505,6.330894684,4.566038334
g17668,1.576010492,0.070187121,0.261888336,1.809835201,0.831381728,2.6640171
g17669,1.528963837,0.038793647,0.565349042,3.02520978,1.704729093,11.23787685
g17670,184.378988,21.73517716,94.66561878,18.24654608,19.91316466,46.08264173
g17671,12.16959151,0.40774796,5.103349326,3.754880098,8.410736512,1.529259383
g17672,15.71942859,12.16641502,20.13342305,10.87255176,9.52454265,11.9957641
g17673,7.263228644,0.784696508,0.773771258,4.329323559,3.807543409,4.218000911
g17674,4.082891972,0.201488143,0.7776154,1.800678901,1.087751933,1.955629455
g17675,20.36079707,3.20218994,4.335583653,6.110450929,5.331028379,7.603046509
g17676,39.84392366,9.525045847,22.64977032,28.88766858,27.4886213,59.56488072
g17677,14.43277284,11.07192675,21.92483485,111.3243863,58.8625764,115.4082244
g17678,301.9012504,48.43824311,27.6376345,52.77330197,38.59596976,22.55096043
g17679,30.03462889,27.74271579,131.7654854,42.33663897,47.45465622,83.73475237
g17692,4.075244103,3.136776494,3.888084855,3.138584891,2.467815567,3.76845288
g17693,7.183076175,5.263316115,4.745194408,12.58487304,9.246268509,9.459226531
g17694,19.93308803,1.146541348,0.198581348,3.379705938,3.970519735,3.91092723
g17695,3.198443511,0.26502162,0.37668985,4.388426377,4.785127596,3.244193944
g17696,2.716871893,0.168788323,0.217006721,3.288933957,3.442688943,2.949129384
g17697,15.30556213,8.228982836,3.470945417,38.32328995,56.87541536,36.43012343
