,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g12399,306.567984285281,10.1393136318117,1.4279035657339,7.10083921290607,1.24001576999546e-12,1.47239538312591e-11
g18017,392.624164966214,1.60443948435069,0.225959156592338,7.10057299092032,1.24240696095443e-12,1.4742570604937098e-11
g14496,970.669981868519,1.734916425898,0.244360934961617,7.09981088495391,1.2492771973252999e-12,1.4814276486958097e-11
g14180,95.5387101221045,3.71208192386037,0.522863329448818,7.09952623331512,1.2518528267444999e-12,1.4834994517331e-11
g11031,277.90783683408,-2.00523360580318,0.282483434519949,-7.09858830911934,1.2603764230716e-12,1.49261244917461e-11
g23951,62.3313075575796,3.20833092884605,0.452146257369536,7.09578123572502,1.28622802500376e-12,1.5222206884148897e-11
g22319,322.18807987348,2.30437088829545,0.324795302770833,7.09484056153779,1.29500695707342e-12,1.5315980563643798e-11
g23954,1451.70786964376,1.7005543670755,0.239692586099415,7.09473077473569,1.2960353764040999e-12,1.53180260395325e-11
g21573,531.202997747618,1.6710032419892,0.235535140265659,7.09449655836697,1.29823205919259e-12,1.53338675804106e-11
g26762,485.371929090622,-2.7404314489286,0.386285271419427,-7.09432031632667,1.2998874171757098e-12,1.5343298676300797e-11
g14603,60.8166006838486,-3.47758526892032,0.490476189425743,-7.0902224081294,1.33896638318591e-12,1.57941581405316e-11
g9482,31.8746446971894,-3.90687913874543,0.551090609787071,-7.0893589354661,1.34734658811628e-12,1.5882546416596498e-11
g13729,49.4723710414127,-2.93095073673774,0.413618335525105,-7.08612381270954,1.3792042914246999e-12,1.62473895014807e-11
g175,153.64561247893,10.4559898026747,1.47643691367005,7.08190760191965,1.42183452582061e-12,1.67385726622906e-11
g18768,6878.32479419943,-2.24735069842554,0.317343233146856,-7.08176656593632,1.4232826678013399e-12,1.6744611990572198e-11
g12876,917.601238546727,-2.01809447721923,0.28503900377595,-7.080064308692,1.44087580936307e-12,1.69404610915661e-11
g901,235.589718406106,1.88005142354669,0.265594052307376,7.07866538129733,1.4554935552222298e-12,1.71010942255966e-11
g5866,198.983003987384,-1.86713460242588,0.263837068530313,-7.07684713458434,1.47471049932009e-12,1.73155188202135e-11
g7182,367.446875422789,2.38451673181012,0.336980038216588,7.07613645137493,1.4822891429513899e-12,1.7393099209493897e-11
