Term	TERM	ONTOLOGY	gene_count	GO_Label
GO:0006913	nucleocytoplasmic transport	BP	3	GO:0006913 – nucleocytoplasmic transport (BP)
GO:0006979	response to oxidative stress	BP	3	GO:0006979 – response to oxidative stress (BP)
GO:0007005	mitochondrion organization	BP	3	GO:0007005 – mitochondrion organization (BP)
GO:0007033	vacuole organization	BP	3	GO:0007033 – vacuole organization (BP)
GO:0008017	microtubule binding	MF	3	GO:0008017 – microtubule binding (MF)
GO:0008213	protein alkylation	BP	3	GO:0008213 – protein alkylation (BP)
GO:0008238	exopeptidase activity	MF	3	GO:0008238 – exopeptidase activity (MF)
GO:0008643	carbohydrate transport	BP	3	GO:0008643 – carbohydrate transport (BP)
GO:0009060	aerobic respiration	BP	3	GO:0009060 – aerobic respiration (BP)
GO:0009062	fatty acid catabolic process	BP	3	GO:0009062 – fatty acid catabolic process (BP)
GO:0009100	glycoprotein metabolic process	BP	3	GO:0009100 – glycoprotein metabolic process (BP)
GO:0009141	nucleoside triphosphate metabolic process	BP	3	GO:0009141 – nucleoside triphosphate metabolic process (BP)
GO:0009142	nucleoside triphosphate biosynthetic process	BP	3	GO:0009142 – nucleoside triphosphate biosynthetic process (BP)
GO:0009144	purine nucleoside triphosphate metabolic process	BP	3	GO:0009144 – purine nucleoside triphosphate metabolic process (BP)
GO:0009145	purine nucleoside triphosphate biosynthetic process	BP	3	GO:0009145 – purine nucleoside triphosphate biosynthetic process (BP)
GO:0009199	ribonucleoside triphosphate metabolic process	BP	3	GO:0009199 – ribonucleoside triphosphate metabolic process (BP)
GO:0009201	ribonucleoside triphosphate biosynthetic process	BP	3	GO:0009201 – ribonucleoside triphosphate biosynthetic process (BP)
GO:0009205	purine ribonucleoside triphosphate metabolic process	BP	3	GO:0009205 – purine ribonucleoside triphosphate metabolic process (BP)
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	BP	3	GO:0009206 – purine ribonucleoside triphosphate biosynthetic process (BP)
GO:0009894	regulation of catabolic process	BP	3	GO:0009894 – regulation of catabolic process (BP)
GO:0009896	positive regulation of catabolic process	BP	3	GO:0009896 – positive regulation of catabolic process (BP)
GO:0010008	endosome membrane	CC	3	GO:0010008 – endosome membrane (CC)
GO:0010256	endomembrane system organization	BP	3	GO:0010256 – endomembrane system organization (BP)
GO:0010564	regulation of cell cycle process	BP	3	GO:0010564 – regulation of cell cycle process (BP)
GO:0010629	negative regulation of gene expression	BP	3	GO:0010629 – negative regulation of gene expression (BP)
GO:0010948	negative regulation of cell cycle process	BP	3	GO:0010948 – negative regulation of cell cycle process (BP)
GO:0010970	transport along microtubule	BP	3	GO:0010970 – transport along microtubule (BP)
GO:0015144	carbohydrate transmembrane transporter activity	MF	3	GO:0015144 – carbohydrate transmembrane transporter activity (MF)
GO:0015631	tubulin binding	MF	3	GO:0015631 – tubulin binding (MF)
GO:0015926	glucosidase activity	MF	3	GO:0015926 – glucosidase activity (MF)
GO:0015980	energy derivation by oxidation of organic compounds	BP	3	GO:0015980 – energy derivation by oxidation of organic compounds (BP)
GO:0015985	energy coupled proton transport, down electrochemical gradient	BP	3	GO:0015985 – energy coupled proton transport, down electrochemical gradient (BP)
GO:0015986	proton motive force-driven ATP synthesis	BP	3	GO:0015986 – proton motive force-driven ATP synthesis (BP)
GO:0016072	rRNA metabolic process	BP	3	GO:0016072 – rRNA metabolic process (BP)
GO:0016236	macroautophagy	BP	3	GO:0016236 – macroautophagy (BP)
GO:0016311	dephosphorylation	BP	3	GO:0016311 – dephosphorylation (BP)
GO:0016407	acetyltransferase activity	MF	3	GO:0016407 – acetyltransferase activity (MF)
GO:0016409	palmitoyltransferase activity	MF	3	GO:0016409 – palmitoyltransferase activity (MF)
GO:0016591	RNA polymerase II, holoenzyme	CC	3	GO:0016591 – RNA polymerase II, holoenzyme (CC)
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	MF	3	GO:0016811 – hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (MF)
GO:0017148	negative regulation of translation	BP	3	GO:0017148 – negative regulation of translation (BP)
GO:0018105	peptidyl-serine phosphorylation	BP	3	GO:0018105 – peptidyl-serine phosphorylation (BP)
GO:0018209	peptidyl-serine modification	BP	3	GO:0018209 – peptidyl-serine modification (BP)
GO:0019900	kinase binding	MF	3	GO:0019900 – kinase binding (MF)
GO:0022618	protein-RNA complex assembly	BP	3	GO:0022618 – protein-RNA complex assembly (BP)
GO:0022890	inorganic cation transmembrane transporter activity	MF	3	GO:0022890 – inorganic cation transmembrane transporter activity (MF)
GO:0030030	cell projection organization	BP	3	GO:0030030 – cell projection organization (BP)
GO:0030031	cell projection assembly	BP	3	GO:0030031 – cell projection assembly (BP)
GO:0030048	actin filament-based movement	BP	3	GO:0030048 – actin filament-based movement (BP)
GO:0030135	coated vesicle	CC	3	GO:0030135 – coated vesicle (CC)
GO:0030332	cyclin binding	MF	3	GO:0030332 – cyclin binding (MF)
GO:0031123	RNA 3'-end processing	BP	3	GO:0031123 – RNA 3'-end processing (BP)
GO:0031300	NA	NA	3	GO:0031300 – NA (NA)
GO:0031301	NA	NA	3	GO:0031301 – NA (NA)
GO:0031329	regulation of cellular catabolic process	BP	3	GO:0031329 – regulation of cellular catabolic process (BP)
GO:0031331	positive regulation of cellular catabolic process	BP	3	GO:0031331 – positive regulation of cellular catabolic process (BP)
GO:0031399	regulation of protein modification process	BP	3	GO:0031399 – regulation of protein modification process (BP)
GO:0031570	DNA integrity checkpoint signaling	BP	3	GO:0031570 – DNA integrity checkpoint signaling (BP)
GO:0032269	NA	NA	3	GO:0032269 – NA (NA)
GO:0033218	amide binding	MF	3	GO:0033218 – amide binding (MF)
GO:0034249	negative regulation of amide metabolic process	BP	3	GO:0034249 – negative regulation of amide metabolic process (BP)
GO:0034440	lipid oxidation	BP	3	GO:0034440 – lipid oxidation (BP)
GO:0035082	axoneme assembly	BP	3	GO:0035082 – axoneme assembly (BP)
GO:0035091	phosphatidylinositol binding	MF	3	GO:0035091 – phosphatidylinositol binding (MF)
GO:0035735	intraciliary transport involved in cilium assembly	BP	3	GO:0035735 – intraciliary transport involved in cilium assembly (BP)
GO:0035770	ribonucleoprotein granule	CC	3	GO:0035770 – ribonucleoprotein granule (CC)
GO:0036464	cytoplasmic ribonucleoprotein granule	CC	3	GO:0036464 – cytoplasmic ribonucleoprotein granule (CC)
GO:0042073	intraciliary transport	BP	3	GO:0042073 – intraciliary transport (BP)
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	CC	3	GO:0042175 – nuclear outer membrane-endoplasmic reticulum membrane network (CC)
GO:0042273	ribosomal large subunit biogenesis	BP	3	GO:0042273 – ribosomal large subunit biogenesis (BP)
GO:0042277	peptide binding	MF	3	GO:0042277 – peptide binding (MF)
GO:0042393	histone binding	MF	3	GO:0042393 – histone binding (MF)
GO:0042579	microbody	CC	3	GO:0042579 – microbody (CC)
GO:0043487	regulation of RNA stability	BP	3	GO:0043487 – regulation of RNA stability (BP)
GO:0043488	regulation of mRNA stability	BP	3	GO:0043488 – regulation of mRNA stability (BP)
GO:0043543	protein acylation	BP	3	GO:0043543 – protein acylation (BP)
GO:0044782	cilium organization	BP	3	GO:0044782 – cilium organization (BP)
GO:0045333	cellular respiration	BP	3	GO:0045333 – cellular respiration (BP)
GO:0045786	negative regulation of cell cycle	BP	3	GO:0045786 – negative regulation of cell cycle (BP)
GO:0046034	ATP metabolic process	BP	3	GO:0046034 – ATP metabolic process (BP)
GO:0046488	phosphatidylinositol metabolic process	BP	3	GO:0046488 – phosphatidylinositol metabolic process (BP)
GO:0046777	protein autophosphorylation	BP	3	GO:0046777 – protein autophosphorylation (BP)
GO:0048878	chemical homeostasis	BP	3	GO:0048878 – chemical homeostasis (BP)
GO:0050779	RNA destabilization	BP	3	GO:0050779 – RNA destabilization (BP)
GO:0051049	regulation of transport	BP	3	GO:0051049 – regulation of transport (BP)
GO:0051050	positive regulation of transport	BP	3	GO:0051050 – positive regulation of transport (BP)
GO:0051087	protein-folding chaperone binding	MF	3	GO:0051087 – protein-folding chaperone binding (MF)
GO:0051169	nuclear transport	BP	3	GO:0051169 – nuclear transport (BP)
GO:0051248	negative regulation of protein metabolic process	BP	3	GO:0051248 – negative regulation of protein metabolic process (BP)
GO:0051338	regulation of transferase activity	BP	3	GO:0051338 – regulation of transferase activity (BP)
GO:0051668	localization within membrane	BP	3	GO:0051668 – localization within membrane (BP)
GO:0060271	cilium assembly	BP	3	GO:0060271 – cilium assembly (BP)
GO:0060341	regulation of cellular localization	BP	3	GO:0060341 – regulation of cellular localization (BP)
GO:0061013	regulation of mRNA catabolic process	BP	3	GO:0061013 – regulation of mRNA catabolic process (BP)
GO:0061014	positive regulation of mRNA catabolic process	BP	3	GO:0061014 – positive regulation of mRNA catabolic process (BP)
GO:0061157	mRNA destabilization	BP	3	GO:0061157 – mRNA destabilization (BP)
GO:0061512	protein localization to cilium	BP	3	GO:0061512 – protein localization to cilium (BP)
GO:0070887	cellular response to chemical stimulus	BP	3	GO:0070887 – cellular response to chemical stimulus (BP)
GO:0071011	precatalytic spliceosome	CC	3	GO:0071011 – precatalytic spliceosome (CC)
GO:0071013	catalytic step 2 spliceosome	CC	3	GO:0071013 – catalytic step 2 spliceosome (CC)
GO:0072329	monocarboxylic acid catabolic process	BP	3	GO:0072329 – monocarboxylic acid catabolic process (BP)
GO:0072657	protein localization to membrane	BP	3	GO:0072657 – protein localization to membrane (BP)
GO:0090150	establishment of protein localization to membrane	BP	3	GO:0090150 – establishment of protein localization to membrane (BP)
GO:0090575	RNA polymerase II transcription regulator complex	CC	3	GO:0090575 – RNA polymerase II transcription regulator complex (CC)
GO:0097472	cyclin-dependent protein kinase activity	MF	3	GO:0097472 – cyclin-dependent protein kinase activity (MF)
GO:0097712	vesicle targeting, trans-Golgi to periciliary membrane compartment	BP	3	GO:0097712 – vesicle targeting, trans-Golgi to periciliary membrane compartment (BP)
GO:0098798	mitochondrial protein-containing complex	CC	3	GO:0098798 – mitochondrial protein-containing complex (CC)
GO:0098800	inner mitochondrial membrane protein complex	CC	3	GO:0098800 – inner mitochondrial membrane protein complex (CC)
GO:0098803	respiratory chain complex	CC	3	GO:0098803 – respiratory chain complex (CC)
GO:0099111	microtubule-based transport	BP	3	GO:0099111 – microtubule-based transport (BP)
GO:0099518	vesicle cytoskeletal trafficking	BP	3	GO:0099518 – vesicle cytoskeletal trafficking (BP)
GO:0120031	plasma membrane bounded cell projection assembly	BP	3	GO:0120031 – plasma membrane bounded cell projection assembly (BP)
GO:0120036	plasma membrane bounded cell projection organization	BP	3	GO:0120036 – plasma membrane bounded cell projection organization (BP)
GO:0140030	modification-dependent protein binding	MF	3	GO:0140030 – modification-dependent protein binding (MF)
GO:0140694	non-membrane-bounded organelle assembly	BP	3	GO:0140694 – non-membrane-bounded organelle assembly (BP)
GO:1901987	regulation of cell cycle phase transition	BP	3	GO:1901987 – regulation of cell cycle phase transition (BP)
GO:1901988	negative regulation of cell cycle phase transition	BP	3	GO:1901988 – negative regulation of cell cycle phase transition (BP)
GO:1902495	transmembrane transporter complex	CC	3	GO:1902495 – transmembrane transporter complex (CC)
GO:1902554	serine/threonine protein kinase complex	CC	3	GO:1902554 – serine/threonine protein kinase complex (CC)
GO:1902600	proton transmembrane transport	BP	3	GO:1902600 – proton transmembrane transport (BP)
GO:1902911	protein kinase complex	CC	3	GO:1902911 – protein kinase complex (CC)
GO:1903311	regulation of mRNA metabolic process	BP	3	GO:1903311 – regulation of mRNA metabolic process (BP)
GO:1903313	positive regulation of mRNA metabolic process	BP	3	GO:1903313 – positive regulation of mRNA metabolic process (BP)
GO:1905037	autophagosome organization	BP	3	GO:1905037 – autophagosome organization (BP)
GO:1905349	ciliary transition zone assembly	BP	3	GO:1905349 – ciliary transition zone assembly (BP)
GO:1990204	oxidoreductase complex	CC	3	GO:1990204 – oxidoreductase complex (CC)
GO:1990351	transporter complex	CC	3	GO:1990351 – transporter complex (CC)
GO:1990542	mitochondrial transmembrane transport	BP	3	GO:1990542 – mitochondrial transmembrane transport (BP)
GO:0000027	ribosomal large subunit assembly	BP	2	GO:0000027 – ribosomal large subunit assembly (BP)
GO:0000045	autophagosome assembly	BP	2	GO:0000045 – autophagosome assembly (BP)
GO:0000077	DNA damage checkpoint signaling	BP	2	GO:0000077 – DNA damage checkpoint signaling (BP)
GO:0000151	ubiquitin ligase complex	CC	2	GO:0000151 – ubiquitin ligase complex (CC)
GO:0000154	rRNA modification	BP	2	GO:0000154 – rRNA modification (BP)
GO:0000175	3'-5'-RNA exonuclease activity	MF	2	GO:0000175 – 3'-5'-RNA exonuclease activity (MF)
GO:0000228	nuclear chromosome	CC	2	GO:0000228 – nuclear chromosome (CC)
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	CC	2	GO:0000307 – cyclin-dependent protein kinase holoenzyme complex (CC)
GO:0000407	phagophore assembly site	CC	2	GO:0000407 – phagophore assembly site (CC)
GO:0000502	proteasome complex	CC	2	GO:0000502 – proteasome complex (CC)
GO:0000724	double-strand break repair via homologous recombination	BP	2	GO:0000724 – double-strand break repair via homologous recombination (BP)
GO:0000725	recombinational repair	BP	2	GO:0000725 – recombinational repair (BP)
GO:0000785	chromatin	CC	2	GO:0000785 – chromatin (CC)
GO:0000793	condensed chromosome	CC	2	GO:0000793 – condensed chromosome (CC)
GO:0002181	cytoplasmic translation	BP	2	GO:0002181 – cytoplasmic translation (BP)
GO:0003333	amino acid transmembrane transport	BP	2	GO:0003333 – amino acid transmembrane transport (BP)
GO:0003729	mRNA binding	MF	2	GO:0003729 – mRNA binding (MF)
GO:0004175	endopeptidase activity	MF	2	GO:0004175 – endopeptidase activity (MF)
GO:0004190	aspartic-type endopeptidase activity	MF	2	GO:0004190 – aspartic-type endopeptidase activity (MF)
GO:0004523	RNA-DNA hybrid ribonuclease activity	MF	2	GO:0004523 – RNA-DNA hybrid ribonuclease activity (MF)
GO:0004527	exonuclease activity	MF	2	GO:0004527 – exonuclease activity (MF)
GO:0005048	signal sequence binding	MF	2	GO:0005048 – signal sequence binding (MF)
GO:0005244	voltage-gated monoatomic ion channel activity	MF	2	GO:0005244 – voltage-gated monoatomic ion channel activity (MF)
GO:0005254	chloride channel activity	MF	2	GO:0005254 – chloride channel activity (MF)
GO:0005506	iron ion binding	MF	2	GO:0005506 – iron ion binding (MF)
GO:0005516	calmodulin binding	MF	2	GO:0005516 – calmodulin binding (MF)
GO:0005666	RNA polymerase III complex	CC	2	GO:0005666 – RNA polymerase III complex (CC)
GO:0005684	U2-type spliceosomal complex	CC	2	GO:0005684 – U2-type spliceosomal complex (CC)
GO:0005688	U6 snRNP	CC	2	GO:0005688 – U6 snRNP (CC)
GO:0005747	mitochondrial respiratory chain complex I	CC	2	GO:0005747 – mitochondrial respiratory chain complex I (CC)
GO:0005819	spindle	CC	2	GO:0005819 – spindle (CC)
GO:0005887	NA	NA	2	GO:0005887 – NA (NA)
GO:0005942	phosphatidylinositol 3-kinase complex	CC	2	GO:0005942 – phosphatidylinositol 3-kinase complex (CC)
GO:0006270	DNA replication initiation	BP	2	GO:0006270 – DNA replication initiation (BP)
GO:0006289	nucleotide-excision repair	BP	2	GO:0006289 – nucleotide-excision repair (BP)
GO:0006302	double-strand break repair	BP	2	GO:0006302 – double-strand break repair (BP)
GO:0006486	protein glycosylation	BP	2	GO:0006486 – protein glycosylation (BP)
GO:0006497	protein lipidation	BP	2	GO:0006497 – protein lipidation (BP)
GO:0006575	cellular modified amino acid metabolic process	BP	2	GO:0006575 – cellular modified amino acid metabolic process (BP)
GO:0006643	membrane lipid metabolic process	BP	2	GO:0006643 – membrane lipid metabolic process (BP)
GO:0006665	sphingolipid metabolic process	BP	2	GO:0006665 – sphingolipid metabolic process (BP)
GO:0006744	ubiquinone biosynthetic process	BP	2	GO:0006744 – ubiquinone biosynthetic process (BP)
GO:0006869	lipid transport	BP	2	GO:0006869 – lipid transport (BP)
GO:0006891	intra-Golgi vesicle-mediated transport	BP	2	GO:0006891 – intra-Golgi vesicle-mediated transport (BP)
GO:0007030	Golgi organization	BP	2	GO:0007030 – Golgi organization (BP)
GO:0007039	protein catabolic process in the vacuole	BP	2	GO:0007039 – protein catabolic process in the vacuole (BP)
GO:0007051	spindle organization	BP	2	GO:0007051 – spindle organization (BP)
GO:0007052	mitotic spindle organization	BP	2	GO:0007052 – mitotic spindle organization (BP)
GO:0007166	cell surface receptor signaling pathway	BP	2	GO:0007166 – cell surface receptor signaling pathway (BP)
GO:0008081	phosphoric diester hydrolase activity	MF	2	GO:0008081 – phosphoric diester hydrolase activity (MF)
GO:0008171	O-methyltransferase activity	MF	2	GO:0008171 – O-methyltransferase activity (MF)
GO:0008173	RNA methyltransferase activity	MF	2	GO:0008173 – RNA methyltransferase activity (MF)
GO:0008236	serine-type peptidase activity	MF	2	GO:0008236 – serine-type peptidase activity (MF)
GO:0008408	3'-5' exonuclease activity	MF	2	GO:0008408 – 3'-5' exonuclease activity (MF)
GO:0008509	monoatomic anion transmembrane transporter activity	MF	2	GO:0008509 – monoatomic anion transmembrane transporter activity (MF)
GO:0008863	formate dehydrogenase (NAD+) activity	MF	2	GO:0008863 – formate dehydrogenase (NAD+) activity (MF)
GO:0009064	glutamine family amino acid metabolic process	BP	2	GO:0009064 – glutamine family amino acid metabolic process (BP)
GO:0009066	aspartate family amino acid metabolic process	BP	2	GO:0009066 – aspartate family amino acid metabolic process (BP)
GO:0009081	branched-chain amino acid metabolic process	BP	2	GO:0009081 – branched-chain amino acid metabolic process (BP)
GO:0009082	branched-chain amino acid biosynthetic process	BP	2	GO:0009082 – branched-chain amino acid biosynthetic process (BP)
GO:0009101	glycoprotein biosynthetic process	BP	2	GO:0009101 – glycoprotein biosynthetic process (BP)
GO:0009267	cellular response to starvation	BP	2	GO:0009267 – cellular response to starvation (BP)
GO:0009605	response to external stimulus	BP	2	GO:0009605 – response to external stimulus (BP)
GO:0009991	response to extracellular stimulus	BP	2	GO:0009991 – response to extracellular stimulus (BP)
GO:0010033	response to organic substance	BP	2	GO:0010033 – response to organic substance (BP)
GO:0010876	lipid localization	BP	2	GO:0010876 – lipid localization (BP)
GO:0015036	disulfide oxidoreductase activity	MF	2	GO:0015036 – disulfide oxidoreductase activity (MF)
GO:0015101	organic cation transmembrane transporter activity	MF	2	GO:0015101 – organic cation transmembrane transporter activity (MF)
GO:0015103	inorganic anion transmembrane transporter activity	MF	2	GO:0015103 – inorganic anion transmembrane transporter activity (MF)
GO:0015850	organic hydroxy compound transport	BP	2	GO:0015850 – organic hydroxy compound transport (BP)
GO:0015934	large ribosomal subunit	CC	2	GO:0015934 – large ribosomal subunit (CC)
GO:0015935	small ribosomal subunit	CC	2	GO:0015935 – small ribosomal subunit (CC)
GO:0016050	vesicle organization	BP	2	GO:0016050 – vesicle organization (BP)
GO:0016197	endosomal transport	BP	2	GO:0016197 – endosomal transport (BP)
GO:0016226	iron-sulfur cluster assembly	BP	2	GO:0016226 – iron-sulfur cluster assembly (BP)
GO:0016298	lipase activity	MF	2	GO:0016298 – lipase activity (MF)
GO:0016567	protein ubiquitination	BP	2	GO:0016567 – protein ubiquitination (BP)
GO:0016592	mediator complex	CC	2	GO:0016592 – mediator complex (CC)
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	MF	2	GO:0016627 – oxidoreductase activity, acting on the CH-CH group of donors (MF)
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	MF	2	GO:0016667 – oxidoreductase activity, acting on a sulfur group of donors (MF)
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF	2	GO:0016705 – oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (MF)
GO:0016758	hexosyltransferase activity	MF	2	GO:0016758 – hexosyltransferase activity (MF)
GO:0016763	pentosyltransferase activity	MF	2	GO:0016763 – pentosyltransferase activity (MF)
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	MF	2	GO:0016796 – exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (MF)
GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	MF	2	GO:0016814 – hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (MF)
GO:0016830	carbon-carbon lyase activity	MF	2	GO:0016830 – carbon-carbon lyase activity (MF)
GO:0016831	carboxy-lyase activity	MF	2	GO:0016831 – carboxy-lyase activity (MF)
GO:0017038	protein import	BP	2	GO:0017038 – protein import (BP)
GO:0017069	snRNA binding	MF	2	GO:0017069 – snRNA binding (MF)
GO:0017171	serine hydrolase activity	MF	2	GO:0017171 – serine hydrolase activity (MF)
GO:0018022	peptidyl-lysine methylation	BP	2	GO:0018022 – peptidyl-lysine methylation (BP)
GO:0018023	peptidyl-lysine trimethylation	BP	2	GO:0018023 – peptidyl-lysine trimethylation (BP)
GO:0018205	peptidyl-lysine modification	BP	2	GO:0018205 – peptidyl-lysine modification (BP)
GO:0018345	protein palmitoylation	BP	2	GO:0018345 – protein palmitoylation (BP)
GO:0019207	kinase regulator activity	MF	2	GO:0019207 – kinase regulator activity (MF)
GO:0019887	protein kinase regulator activity	MF	2	GO:0019887 – protein kinase regulator activity (MF)
GO:0019888	protein phosphatase regulator activity	MF	2	GO:0019888 – protein phosphatase regulator activity (MF)
GO:0019898	extrinsic component of membrane	CC	2	GO:0019898 – extrinsic component of membrane (CC)
GO:0019901	protein kinase binding	MF	2	GO:0019901 – protein kinase binding (MF)
GO:0020037	heme binding	MF	2	GO:0020037 – heme binding (MF)
GO:0022625	cytosolic large ribosomal subunit	CC	2	GO:0022625 – cytosolic large ribosomal subunit (CC)
GO:0022627	cytosolic small ribosomal subunit	CC	2	GO:0022627 – cytosolic small ribosomal subunit (CC)
GO:0022832	voltage-gated channel activity	MF	2	GO:0022832 – voltage-gated channel activity (MF)
GO:0022836	gated channel activity	MF	2	GO:0022836 – gated channel activity (MF)
GO:0022853	active monoatomic ion transmembrane transporter activity	MF	2	GO:0022853 – active monoatomic ion transmembrane transporter activity (MF)
GO:0022898	regulation of transmembrane transporter activity	BP	2	GO:0022898 – regulation of transmembrane transporter activity (BP)
GO:0030117	membrane coat	CC	2	GO:0030117 – membrane coat (CC)
GO:0030120	vesicle coat	CC	2	GO:0030120 – vesicle coat (CC)
GO:0030134	COPII-coated ER to Golgi transport vesicle	CC	2	GO:0030134 – COPII-coated ER to Golgi transport vesicle (CC)
GO:0030176	NA	NA	2	GO:0030176 – NA (NA)
GO:0030488	tRNA methylation	BP	2	GO:0030488 – tRNA methylation (BP)
GO:0030662	coated vesicle membrane	CC	2	GO:0030662 – coated vesicle membrane (CC)
GO:0030964	NADH dehydrogenase complex	CC	2	GO:0030964 – NADH dehydrogenase complex (CC)
GO:0031072	heat shock protein binding	MF	2	GO:0031072 – heat shock protein binding (MF)
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	BP	2	GO:0031146 – SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (BP)
GO:0031167	rRNA methylation	BP	2	GO:0031167 – rRNA methylation (BP)
GO:0031226	NA	NA	2	GO:0031226 – NA (NA)
GO:0031227	NA	NA	2	GO:0031227 – NA (NA)
GO:0031593	polyubiquitin modification-dependent protein binding	MF	2	GO:0031593 – polyubiquitin modification-dependent protein binding (MF)
GO:0031667	response to nutrient levels	BP	2	GO:0031667 – response to nutrient levels (BP)
GO:0031668	cellular response to extracellular stimulus	BP	2	GO:0031668 – cellular response to extracellular stimulus (BP)
GO:0031669	cellular response to nutrient levels	BP	2	GO:0031669 – cellular response to nutrient levels (BP)
GO:0032040	small-subunit processome	CC	2	GO:0032040 – small-subunit processome (CC)
GO:0032409	regulation of transporter activity	BP	2	GO:0032409 – regulation of transporter activity (BP)
GO:0032411	positive regulation of transporter activity	BP	2	GO:0032411 – positive regulation of transporter activity (BP)
GO:0032412	regulation of monoatomic ion transmembrane transporter activity	BP	2	GO:0032412 – regulation of monoatomic ion transmembrane transporter activity (BP)
GO:0032414	positive regulation of ion transmembrane transporter activity	BP	2	GO:0032414 – positive regulation of ion transmembrane transporter activity (BP)
GO:0032446	protein modification by small protein conjugation	BP	2	GO:0032446 – protein modification by small protein conjugation (BP)
GO:0032509	endosome transport via multivesicular body sorting pathway	BP	2	GO:0032509 – endosome transport via multivesicular body sorting pathway (BP)
GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	BP	2	GO:0032511 – late endosome to vacuole transport via multivesicular body sorting pathway (BP)
GO:0032880	regulation of protein localization	BP	2	GO:0032880 – regulation of protein localization (BP)
GO:0032993	protein-DNA complex	CC	2	GO:0032993 – protein-DNA complex (CC)
GO:0033108	mitochondrial respiratory chain complex assembly	BP	2	GO:0033108 – mitochondrial respiratory chain complex assembly (BP)
GO:0033260	nuclear DNA replication	BP	2	GO:0033260 – nuclear DNA replication (BP)
GO:0034599	cellular response to oxidative stress	BP	2	GO:0034599 – cellular response to oxidative stress (BP)
GO:0034728	nucleosome organization	BP	2	GO:0034728 – nucleosome organization (BP)
GO:0034762	regulation of transmembrane transport	BP	2	GO:0034762 – regulation of transmembrane transport (BP)
GO:0034764	positive regulation of transmembrane transport	BP	2	GO:0034764 – positive regulation of transmembrane transport (BP)
GO:0034765	regulation of monoatomic ion transmembrane transport	BP	2	GO:0034765 – regulation of monoatomic ion transmembrane transport (BP)
GO:0034767	positive regulation of monoatomic ion transmembrane transport	BP	2	GO:0034767 – positive regulation of monoatomic ion transmembrane transport (BP)
GO:0035032	phosphatidylinositol 3-kinase complex, class III	CC	2	GO:0035032 – phosphatidylinositol 3-kinase complex, class III (CC)
GO:0042157	lipoprotein metabolic process	BP	2	GO:0042157 – lipoprotein metabolic process (BP)
GO:0042158	lipoprotein biosynthetic process	BP	2	GO:0042158 – lipoprotein biosynthetic process (BP)
GO:0042180	cellular ketone metabolic process	BP	2	GO:0042180 – cellular ketone metabolic process (BP)
GO:0042594	response to starvation	BP	2	GO:0042594 – response to starvation (BP)
GO:0042770	signal transduction in response to DNA damage	BP	2	GO:0042770 – signal transduction in response to DNA damage (BP)
GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	BP	2	GO:0043162 – ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (BP)
GO:0043175	RNA polymerase core enzyme binding	MF	2	GO:0043175 – RNA polymerase core enzyme binding (MF)
GO:0043269	regulation of monoatomic ion transport	BP	2	GO:0043269 – regulation of monoatomic ion transport (BP)
GO:0043270	positive regulation of monoatomic ion transport	BP	2	GO:0043270 – positive regulation of monoatomic ion transport (BP)
GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	BP	2	GO:0043328 – protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (BP)
GO:0043413	macromolecule glycosylation	BP	2	GO:0043413 – macromolecule glycosylation (BP)
GO:0044042	glucan metabolic process	BP	2	GO:0044042 – glucan metabolic process (BP)
GO:0044786	cell cycle DNA replication	BP	2	GO:0044786 – cell cycle DNA replication (BP)
GO:0045271	respiratory chain complex I	CC	2	GO:0045271 – respiratory chain complex I (CC)
GO:0046873	metal ion transmembrane transporter activity	MF	2	GO:0046873 – metal ion transmembrane transporter activity (MF)
GO:0048475	coated membrane	CC	2	GO:0048475 – coated membrane (CC)
GO:0051052	regulation of DNA metabolic process	BP	2	GO:0051052 – regulation of DNA metabolic process (BP)
GO:0051082	unfolded protein binding	MF	2	GO:0051082 – unfolded protein binding (MF)
GO:0051170	import into nucleus	BP	2	GO:0051170 – import into nucleus (BP)
