,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_96h,TPM_Early,TPM_Late
g256,1.7423915989108267,0.32833400847253835,12.34657109335567,10.169724954598308,2.8823183974572064,9.654795568476061
g257,6.119718305619816,1.477142708763573,8.76298313738141,20.561170065504623,12.451159358713713,29.93049618775987
g258,7.885535775019435,3.338576931211027,2.834877077469409,4.749564911713057,2.918392883823504,4.307529269215135
g259,28.547520730435892,17.791826875153546,28.631581401243622,26.16657079896062,16.964426918487728,17.73657094491313
g260,4924.032087375963,6335.495450253378,5963.819251185405,3946.2200801930367,5001.859154685159,5163.62665761819
g261,240.16645711412917,146.0006568939121,41.27449643651187,44.883400989896074,48.01377416547017,29.446530570665118
g262,2.9489975483203983,1.6130945838557218,1.6898436881325483,20.27848795196968,14.082782472118948,11.949801179492788
g273,0.0,0.02679947896430785,0.0,9.037372916391817,11.89030484863775,11.056937897563083
g274,0.0404990757273221,0.08785620032515365,0.0774645167944483,64.95758063013756,93.89269931613991,103.03254233816483
g275,0.30561656453081987,0.0,0.426777169337097,0.10009879503611635,0.106170386870354,0.0
g276,1.4996363083581015,0.1454452571286517,2.516027540173627,1.6797328744585884,0.9639046078495188,1.3172075239506804
g278,1.211249112731838,1.725780913599587,1.637693784579628,1.6686327542256771,0.8550483116283647,2.0689552688104653
g279,61.54728386005124,20.820770680196468,114.69168221268356,28.661647984506494,43.471238711509024,24.573720707201602
g280,0.47943230272877535,0.15642428867095245,0.8453943020635959,1.422735658742703,0.9272569791804042,0.8807941134664954
g281,6.60567250493553,4.652493928633373,3.65873268462024,17.140050911137962,16.028195536942285,21.264271448458864
g282,2.6393854403784838,0.5604192157877359,0.5324140805815305,2.1041867176970794,1.6016661503081222,1.853333803947877
g283,56.083723140626546,14.550835072739826,2.7670173347110207,51.67280058950281,40.08017454887138,21.794318187702892
g284,2.371784990095405,4.540343330798848,5.6534930226461695,9.49188468703002,6.552134630920571,7.632470645086665
g285,5.640676300404909,12.349408906008012,31.225947588949936,25.310000502340536,18.857411312830916,30.27872625319766
g286,33.30582106434062,30.62648599512935,42.016041102919765,22.767958233133136,25.419502703162884,18.693691309664693
g287,308.77322968026556,422.19894306104857,269.18740408091526,674.6720306119405,632.5353416620364,470.7305425657772
g288,20.41036473299642,52.186582993141286,40.504862943949405,44.39608995560938,43.90765503075548,30.750865885015322
g289,1.5861382999517057,0.20814768138607198,0.10932871930549085,1.0980421709424764,0.8290904707124346,0.7093022817178816
g290,0.3795972934040935,0.7779515817831617,2.0698498622140313,14.624044189400909,4.721879932988211,5.8847569432182185
g291,9.610349153547746,10.706564584510808,14.536336255369028,25.096841767417384,18.678010352207956,29.577282709613158
g292,11.478168358305373,11.494720416770315,12.919517067081953,18.15828941115076,12.384398037094755,13.682574314269653
g293,12.597514344551826,17.746985530781973,14.676202460005069,23.078171642599052,17.011071632716327,13.547659898039043
g294,46.731197225258214,150.0570295652579,330.23494109073965,24.717715392538103,36.93318845074276,13.520061719610034
g295,1.2207571825274601,0.6707478411912802,2.230978083680112,3.938415525558886,1.7056573755989755,2.0556491193821236
g296,14.566256637601034,0.9761740007055907,6.715811068157456,6.4623116835777035,4.691455252777464,4.509909204519879
g297,0.0,0.0,0.07183073375485205,5.998890520857542,4.514552228049002,5.895892837976143
