,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g48,590.827909538021,2.21252577970016,0.281239441033476,7.86705368055687,3.630908712361031e-15,3.45457233812628e-14
g21285,120.828682722574,3.59496795048673,0.457041202310601,7.86574149619803,3.6691752988057705e-15,3.4891265480837104e-14
g17823,411.355282279639,2.66961802935059,0.339448075239773,7.86458437705053,3.7032490677931906e-15,3.51965911931554e-14
g25363,256.68935937999,-2.33298650471461,0.296979675593415,-7.85571100127615,3.9751068038627e-15,3.77603514217323e-14
g59,100.05166336675,-5.45586112724353,0.694565140134721,-7.85507479713894,3.99533649672827e-15,3.79323941200511e-14
g892,185.152633848385,-2.95953673653102,0.376821312710352,-7.85395262079006,4.031266237745811e-15,3.825323436835e-14
g7872,170.939490788474,2.98144027537273,0.380088256535062,7.84407364371623,4.3616110118058605e-15,4.1365999352434204e-14
g1330,371.884982696319,-2.84777796127353,0.363060064199172,-7.84382046412921,4.3704182710858805e-15,4.14090122373667e-14
g2897,101.845401635372,-4.41845048138777,0.5633040957978,-7.84381032261086,4.3707714245852204e-15,4.14090122373667e-14
g506,367.854834792642,1.83527377391111,0.234082296011517,7.84029294475486,4.49496545457015e-15,4.25631155100651e-14
g22222,1420.12806703653,2.25211505867889,0.287267867430824,7.83977365383968,4.5135928548856904e-15,4.27169099680672e-14
g21645,349.119426547022,-11.4618375436456,1.46213038930558,-7.83913502344291,4.5366052848935506e-15,4.29120201961458e-14
g15412,747.016516845618,2.20448394425527,0.28125554179056,7.83801069383679,4.57740042454681e-15,4.3275043295636304e-14
g893,122.620966964749,-3.46900093993095,0.44271998556508,-7.83565470960879,4.66405971157526e-15,4.4071057095233e-14
g6456,157.470685638104,3.33568635109917,0.425950082975939,7.8311672762078,4.8336105322969e-15,4.5649066556597205e-14
g10061,76.6361563326549,-3.98882492856537,0.509386607034643,-7.83064351021324,4.85379141637119e-15,4.58154924098801e-14
g11222,2367.60416224443,2.16349727860885,0.276346524764491,7.82892884378638,4.9204400935757605e-15,4.64201266151568e-14
g4679,2516.61481677856,1.96269951603504,0.25070659609541,7.82867123004658,4.9305310160171106e-15,4.6490831159980204e-14
g18646,250.403262243096,2.16812537578079,0.276964088317275,7.82818230678736,4.949738559133641e-15,4.66473782314984e-14
g24918,138.685092656861,-3.18149257471931,0.406504104111975,-7.82647098156466,5.01755056476747e-15,4.7261578333890703e-14
g12754,334.192771324737,-2.8897065126451,0.369270028600679,-7.8254564108423,5.05818432802892e-15,4.7619268442526705e-14
g23964,636.04957699088,2.21561588089791,0.283138604384055,7.8251988481677,5.068551214800041e-15,4.7691790883977704e-14
g2442,1238.3888257514,4.60297983091427,0.588272188328084,7.82457495397888,5.093749703426911e-15,4.78785733278542e-14
g10215,86.8857867739088,-3.97026250797867,0.507406517931668,-7.82461865914253,5.091980484027791e-15,4.78785733278542e-14
g1547,124.365389423509,-8.20020716070062,1.04819856300623,-7.82314291405099,5.152055751491391e-15,4.8401212112384504e-14
g16115,463.149110553288,2.11877431926734,0.270891508395406,7.82148666016756,5.2203104287448905e-15,4.9016716589987405e-14
g28804,120.557968350743,-8.89521144505348,1.13766317616206,-7.81884448001711,5.33104235030989e-15,5.00302119101934e-14
g20387,73.856979435374,-4.28982477828676,0.548884688918476,-7.81553004646466,5.473221934515941e-15,5.13376175795926e-14
g25007,198.162063132747,2.85130861784979,0.364919828862909,7.81352064845166,5.561229882274821e-15,5.2135802236656e-14
g7258,3046.34389728252,-1.98729219599093,0.254463266616057,-7.80974095954455,5.730564131465161e-15,5.3695176001054504e-14
g25283,2527.45008855723,-4.10395752234999,0.525553248231026,-7.80883295111125,5.771994084188691e-15,5.40550868574701e-14
g25574,68.3763014035419,4.24579017996614,0.543881159111981,7.80646674155514,5.88134808132602e-15,5.5050401852704504e-14
g13005,48.7549623579511,-5.76376347326949,0.738411780658933,-7.80562231567609,5.92086476348819e-15,5.53913293913373e-14
g1349,90.8641932181463,3.503484558961,0.449014848376511,7.80260290194954,6.0643143521051e-15,5.67037142500229e-14
g13275,1921.85785240506,2.52258776585289,0.323497646083026,7.79785508920046,6.2968257147388304e-15,5.88470570188484e-14
g10002,260.173089953623,2.34348653745649,0.300564901194862,7.79694012221725,6.342631716215231e-15,5.92442167504173e-14
g212,6276.18048701562,2.8877039970511,0.370379364373673,7.79661146061506,6.359165442603121e-15,5.93676832196306e-14
g6991,104.345721639426,-3.08618567288722,0.395857422200629,-7.79620514813304,6.379664142694581e-15,5.95280177900412e-14
g8068,680.426192127026,-2.20703483554803,0.283095060370627,-7.79609094082599,6.38543766825715e-15,5.95508577540691e-14
g29141,366.843213972858,2.04011941558261,0.26169955613762,7.79565485586751,6.407530433638141e-15,5.97257886229695e-14
g5438,1059.75234871742,2.84600201811508,0.365183528218161,7.79334717532736,6.52569971509168e-15,6.07956186776439e-14
g24177,7970.67182079001,2.15890656445386,0.277087240070188,7.79143263293898,6.6253635215677106e-15,6.16920224738384e-14
g16480,164.375692374633,-8.35810223971967,1.07276527423035,-7.79117523702114,6.6388763144859705e-15,6.178571688523171e-14
g533,286.041071694837,-2.22751459122767,0.285964390299912,-7.78948242084096,6.728424248603721e-15,6.25865790106484e-14
g20870,143.568022084927,-4.43441799493351,0.569348422558954,-7.78858396586555,6.776433288327651e-15,6.30004228768406e-14
g6603,258.808901568153,1.84630673970421,0.237066410479327,7.78814145779294,6.800202523198361e-15,6.31885969799636e-14
g13592,45.8477530732791,-5.11859955882975,0.657314533177004,-7.78713888173136,6.854359704468941e-15,6.36587992055087e-14
g14651,320.011181590507,1.98283114531789,0.254638701747294,7.78684124491676,6.870519022651631e-15,6.377579762550551e-14
g19855,74.0355383399469,-4.65188164719815,0.597460753366598,-7.78608740571748,6.911614452202441e-15,6.41240250679466e-14
g20593,402.257697625824,2.17652416488753,0.279549471015655,7.78582823633975,6.9257988434305605e-15,6.42223480530645e-14
g27258,121.476523353391,2.74918646459458,0.353183670445487,7.78401351661275,7.0259246769336104e-15,6.51170845057832e-14
g22398,312.216862983812,-3.5142519684293,0.451641859923677,-7.78105902101982,7.19199299528787e-15,6.66217416314664e-14
g21281,102.62625827502,-3.02692489299597,0.389105133092706,-7.77919548101873,7.29872078168467e-15,6.75754365650701e-14
g8159,418.962986824363,-2.95446951500238,0.37980018720198,-7.77901015996914,7.309419235488791e-15,6.76045768753421e-14
g23314,2625.95651399299,-1.59471330844781,0.205000667766358,-7.7790639700029,7.306311230952511e-15,6.76045768753421e-14
g24289,370.728954395162,8.57558126706325,1.10272053590406,7.77674940100086,7.441180456939341e-15,6.87877012193887e-14
g5070,133.039488336713,-3.4376234113098,0.442200583822902,-7.77390066198228,7.610543047093581e-15,7.03170195052929e-14
g10949,77.1899287408159,-4.70581358605262,0.605654004662566,-7.76980511946655,7.86069713281277e-15,7.2590842114567e-14
g25476,59.5879191414878,5.78772274896333,0.745377298583251,7.76482294264144,8.175935692776441e-15,7.54630435643582e-14
g8342,2995.6717940594,2.0646355483057,0.265993600399075,7.7619745182143,8.3617208921592e-15,7.713805991499361e-14
g772,90.4539116442547,-3.02305334425919,0.389625175241951,-7.75887580257596,8.56855087508005e-15,7.90053923631223e-14
g11690,557.191208068709,-1.90006973508093,0.245123716257497,-7.75147245681011,9.083304939559131e-15,8.37085220008985e-14
g5413,891.885020114834,-8.41056587739941,1.08514499160215,-7.75063788018014,9.14320802008498e-15,8.421722366648231e-14
g11350,222.096413752482,-2.01462512435971,0.260112284827858,-7.74521328622749,9.54215361162464e-15,8.784668512583591e-14
g23186,212.23121798851,2.79555894233679,0.361082679359076,7.74215741197811,9.774386875425231e-15,8.993842311991999e-14
g21335,420.188265037371,2.58562346939446,0.334026242939952,7.74077942690055,9.8809188747998e-15,9.08719739970031e-14
g8338,349.536889327852,2.37232245884474,0.306538671235745,7.73906420772696,1.00151198195708e-14,9.20588991217836e-14
g10750,123.848455435316,-3.05122337334422,0.39428435650984,-7.73863665389441,1.00488504864893e-14,9.23215581380593e-14
g11686,1761.05717995124,1.97504889240585,0.255273868125678,7.73698031415219,1.0180581477692301e-14,9.34838420202867e-14
g2608,1631.92532444024,2.12589230945801,0.274777273380915,7.73678362588216,1.01963368064039e-14,9.35805263226385e-14
g5879,924.573382633578,1.7862691658173,0.230994590921387,7.73294802571896,1.0508420796464101e-14,9.63953805233021e-14
g5886,71.4008736880756,-4.90222213250149,0.633994321626386,-7.73228081905499,1.0563659717172401e-14,9.6852478697229e-14
g21475,200.700514784465,-12.0285086349682,1.55577481778325,-7.7315229025927,1.06267553242708e-14,9.738110585281161e-14
g11402,315.265756794339,3.27989015782806,0.424264172461101,7.73077335001409,1.06895193411936e-14,9.790615515264041e-14
g9967,65.3614042972742,-4.20174087140045,0.543552332745149,-7.73014964388073,1.07420235090989e-14,9.833674486396971e-14
g20736,84.2975137256408,-3.42004670158966,0.442551377539746,-7.72802181885085,1.09230626665361e-14,9.99429535549287e-14
g10948,85.8093889666511,-6.52188646808219,0.844479652790721,-7.72296460492512,1.1365474243044101e-14,1.03937784369739e-13
g23187,195.799049563457,-11.9050791976945,1.54169326507959,-7.72208030439826,1.14446248227028e-14,1.04608194014965e-13
g10978,116.292337441506,-4.6780772283433,0.60603296258662,-7.7191795119142,1.17080913875575e-14,1.06961777747758e-13
g16708,860.069362250303,1.74099307850659,0.2256890822751,7.71412183946246,1.21818059753817e-14,1.11232747473322e-13
