anchor_location1	start1	end1	anchor1_annotation	anchor_location1	start2	end2	anchor2_annotation	loop_type	loop_size
HiC_scaffold_5	3175000	3180000	TAD_64	HiC_scaffold_5	3220000	3225000	TAD_64	Intra-TAD	45000
HiC_scaffold_6	255000	260000	None	HiC_scaffold_6	365000	370000	None	Unannotated	110000
HiC_scaffold_6	290000	300000	None	HiC_scaffold_6	470000	480000	None	Unannotated	180000
HiC_scaffold_6	1090000	1095000	TAD_68	HiC_scaffold_6	4140000	4145000	TAD_74	Inter-TAD	3050000
HiC_scaffold_6	1250000	1260000	TAD_68	HiC_scaffold_6	3980000	3990000	TAD_74	Inter-TAD	2730000
HiC_scaffold_6	1390000	1400000	Boundary	HiC_scaffold_6	1550000	1560000	TAD_70	TAD-Boundary	160000
HiC_scaffold_6	1400000	1405000	Boundary	HiC_scaffold_6	1690000	1695000	Boundary	Unannotated	290000
HiC_scaffold_6	1600000	1610000	Boundary	HiC_scaffold_6	3980000	3990000	TAD_74	TAD-Boundary	2380000
HiC_scaffold_6	1830000	1840000	TAD_72	HiC_scaffold_6	2330000	2340000	TAD_72	Intra-TAD	500000
HiC_scaffold_6	1880000	1890000	TAD_72	HiC_scaffold_6	2010000	2020000	TAD_72	Intra-TAD	130000
HiC_scaffold_6	1900000	1905000	TAD_72	HiC_scaffold_6	2030000	2035000	TAD_72	Intra-TAD	130000
HiC_scaffold_6	1960000	1970000	TAD_72	HiC_scaffold_6	2400000	2410000	TAD_72	Intra-TAD	440000
HiC_scaffold_6	3220000	3225000	TAD_74	HiC_scaffold_6	3270000	3275000	TAD_74	Intra-TAD	50000
HiC_scaffold_6	3470000	3480000	TAD_74	HiC_scaffold_6	3570000	3580000	TAD_74	Intra-TAD	100000
HiC_scaffold_6	3860000	3870000	TAD_74	HiC_scaffold_6	4100000	4110000	TAD_74	Intra-TAD	240000
HiC_scaffold_7	640000	650000	TAD_76	HiC_scaffold_7	790000	800000	TAD_76	Intra-TAD	150000
HiC_scaffold_7	750000	760000	TAD_76	HiC_scaffold_7	3690000	3700000	TAD_83	Inter-TAD	2940000
HiC_scaffold_7	1185000	1190000	TAD_77	HiC_scaffold_7	1225000	1230000	TAD_77	Intra-TAD	40000
HiC_scaffold_7	1380000	1390000	TAD_78	HiC_scaffold_7	1630000	1640000	TAD_79	Inter-TAD	250000
HiC_scaffold_7	1510000	1520000	TAD_78	HiC_scaffold_7	1790000	1800000	TAD_79	Inter-TAD	280000
HiC_scaffold_7	1590000	1600000	Boundary	HiC_scaffold_7	1870000	1880000	TAD_79	TAD-Boundary	280000
HiC_scaffold_7	1900000	1910000	TAD_79	HiC_scaffold_7	2340000	2350000	Boundary	TAD-Boundary	440000
