gene_id,Germinating_Cyst_vs_Zoospore,Mycelia_48h_vs_Germinating_Cyst,Mycelia_4d_vs_Mycelia_48h,Early_infection_vs_Mycelia_4d,Late_infection_vs_Early_infection
g11551,-1.95953009787124,0.0,1.78851760274178,0.0,0.0
g11569,-2.98418217304634,1.48832847241846,1.50132945747767,0.0,0.0
g11570,0.0,0.0,1.76461651715443,0.0,0.0
g12116,0.0,0.0,5.08370877413965,0.0,0.0
g12117,1.85948067840625,0.0,2.32277646257673,0.0,0.0
g12451,-6.65493494070095,0.0,0.0,0.0,0.0
g12467,-6.95151631427177,0.0,0.0,0.0,0.0
g12468,-6.67245318296051,0.0,0.0,0.0,0.0
g12624,-2.81842740791112,0.0,0.0,0.0,0.0
g12625,1.31837787843078,-1.62048769282562,1.99351859465104,0.0,0.0
g12626,-3.00361610137971,0.0,0.0,0.0,0.0
g12637,-3.04988068605443,0.0,0.0,0.0,0.0
g12638,-1.04692034322389,1.31912170545562,-1.40493271513552,0.0,0.792600187777422
g12639,3.21521373076418,0.0,0.0,0.0,0.0
g12646,-3.36781229612302,0.0,0.0,0.0,0.0
g12647,1.22829497528187,-1.80381452938333,0.0,0.0,0.0
g12703,0.0,1.78294556318758,-1.94687046261133,1.60751201094333,-1.49657920993656
g12822,-2.69482628712933,0.0,-0.850209602813782,0.0,1.28771600941965
g12823,0.961189659041305,0.0,0.0,0.0,0.0
g12824,-6.46597473140264,0.0,0.0,0.0,0.0
g12848,-4.36899904784079,0.0,1.50978195788916,0.0,0.0
g12849,-2.23454505784831,0.0,0.0,0.0,0.0
g12847,-6.30325835339956,0.0,0.0,0.0,0.0
g13220,2.7037449399863,0.0,0.0,0.0,0.0
g13221,0.0,0.0,1.58596468694771,0.0,0.0
g13251,-1.21749395561534,0.0,2.19344577297593,0.0,0.0
g13252,-1.72172440672742,0.0,2.52661122204372,0.0,0.0
g13312,-2.9806847069707,0.0,4.67105583852882,0.0,0.0
g13314,-3.2398891917265,0.0,7.00843837198616,0.0,0.0
g13313,0.0,0.0,-0.79235335815747,0.0,0.0
g13326,0.0,0.0,3.55258815788153,0.0,0.0
g13327,-1.20532248692255,-0.768070233574548,0.0,0.0,0.0
g13325,-2.82503033615505,-1.49724054579724,2.96926432899548,0.0,0.0
g13396,0.0,0.0,-3.25492614156968,0.0,0.0
g13397,-6.37585949988311,0.0,4.26836899981295,0.0,0.0
g13437,-8.56073227158584,0.0,0.0,0.0,0.0
g13438,1.03251386209208,0.0,-1.71538693058278,0.0,0.0
g13439,0.0,0.0,-1.08588697244551,0.0,0.0
g13440,3.20286702284197,-2.38720423233915,0.0,0.0,0.0
g13448,-7.2521538588623,0.0,2.83090436177901,0.0,0.0
g13450,0.0,-0.878638151604696,-0.748739361117531,0.0,0.0
g13452,0.0,1.07953703745493,0.0,0.0,0.0
g13451,-5.97925799500549,0.0,0.0,0.0,0.0
g13518,-3.8674560261017,0.0,0.0,0.0,0.0
g13523,-5.3033906875193,5.3102282029889,1.92482115047538,0.0,0.0
g13519,-3.91049209634403,0.0,0.0,0.0,0.0
g13552,-8.18949347864502,5.13772975459178,0.0,0.0,0.0
g13553,-6.58030053925747,0.0,0.0,0.0,2.25353563993941
g13554,1.41197294295241,3.96781094233019,-5.72942306077819,0.0,0.0
g13555,0.0,4.39402534013672,-2.43866643193737,0.0,0.0
g13618,-6.22167179481222,0.0,2.24131288703545,0.0,0.0
g13617,0.0,-1.65623774911398,0.0,0.0,0.0
g13636,-5.82956875058915,3.53019129325708,0.0,0.0,0.0
g13637,-1.56448180498815,0.0,0.0,0.0,0.0
g13641,-2.68134130602719,0.0,0.0,0.0,0.0
g13642,3.15783314346626,-1.57763741897159,-2.41761825122073,0.0,-1.51234301383925
g13643,0.0,0.0,-0.649791222399376,0.0,0.0
g13644,1.63632941273695,-1.30835985893808,1.81533328599572,-1.1984336726745,0.0
g13807,2.4520386862393,0.0,-1.61429815036416,0.0,0.0
g13808,0.0,0.0,4.41716194936721,0.0,0.0
g13810,1.65371216712647,0.0,0.0,0.0,0.0
g13811,0.0,0.0,2.66368184087947,0.0,0.0
g13812,0.0,-1.18683612010232,0.0,0.0,0.0
g13813,-0.789353972306449,-0.862520537228472,-2.03355055035844,0.0,0.0
g13815,4.19607473093986,-3.17246878106059,2.39901978451877,0.0,0.0
g13814,0.990570625762453,0.0,0.0,0.0,0.0
g13863,1.86577757221895,0.746070293786119,-1.02693131755552,0.0,0.0
g13874,0.0,0.0,3.1104574410065,0.0,0.0
g13904,-5.94620452984433,0.0,2.33167250170524,0.0,0.0
g13905,-6.37335971506576,0.0,3.57268235291574,0.0,0.0
g13906,-3.57521538303677,0.0,0.0,0.0,0.0
g13922,-5.77766968749004,5.24729490247587,0.0,0.0,0.0
g13923,-1.94284177492593,0.0,4.14096870608299,1.89636762017589,-1.77406054719527
g14181,-3.97858584846778,0.0,2.34125393677527,0.0,0.0
g14386,0.0,0.0,4.20739999210772,0.0,0.0
g14402,0.0,0.0,3.78074455609246,0.0,0.0
g14503,0.0,0.0,1.63060064041105,0.0,0.0
g14504,0.0,1.06854181358831,0.0,0.0,0.0
g14527,-1.49018915324131,1.69117214252591,-2.51884157557281,0.0,0.0
g14528,-7.71556676233062,0.0,0.0,0.0,2.67514928754869
g14529,5.19532829255886,0.0,-3.5685715776057,1.5936890979678,-2.98439555064255
g14558,8.43902954144059,0.0,-2.69888170852873,0.0,-4.39457123812559
g14607,0.0,0.0,0.887140013393115,0.0,0.0
g14608,0.0,1.4318825948838,0.0,0.0,0.0
g14609,2.86602401577061,0.0,-1.26341841584527,0.0,0.0
g14610,0.0,-2.95962657960418,1.76898836150153,0.0,-1.11753740008367
g14738,-2.52628825801624,0.0,4.92025554301245,0.0,0.0
g14739,0.0,0.0,4.87804507146,0.0,0.0
g14783,2.30305255824589,1.91739614134494,-2.37154495900248,0.0,-1.46885194844857
g14784,0.0,3.55845123579524,0.0,1.64206743522538,0.0
g14785,2.664193945073,0.0,0.0,0.0,0.0
g14865,-2.66637213408451,1.6579651066213,-1.719044416968,0.0,0.0
g14866,0.0,0.0,6.36545077514879,0.0,0.0
g14867,0.0,0.0,-3.61606223525454,0.0,0.0
g14886,2.8500276120775,0.0,0.0,0.0,0.0
g14887,-3.58102812265046,0.0,0.0,0.0,0.0
g14888,0.0,0.0,-2.40901775142002,0.0,0.0
g14889,0.968904986131612,-2.1037732144233,-2.32375552898571,0.0,0.0
g15127,-1.09849373723446,0.0,0.0,0.0,0.0
g15128,-1.9755479773472,2.57915576433563,-3.5499664965271,0.0,0.0
g15147,-0.983521645737326,2.27735715803537,-2.37698362603325,0.0,0.0
g15346,-4.27651167066683,4.19698317826124,0.0,0.0,0.0
g15347,-3.20425832084516,3.98848908048668,0.0,0.0,0.0
g15345,-1.12171892794037,0.0,-1.43535903357679,0.0,0.0
g15347,-3.20425832084516,3.98848908048668,0.0,0.0,0.0
g15348,1.43344550535743,-1.72841536696063,0.0,0.0,0.0
g15350,0.0,0.0,-0.662998543915033,0.0,0.0
g15362,-5.67310229073729,4.95996890998565,0.0,0.0,0.0
g15363,-0.989778772849469,0.0,-0.980453982538034,0.0,0.0
g15364,0.0,0.0,-2.43033794090395,0.0,0.0
g15365,0.0,0.0,-2.20723302595853,0.0,0.0
g15370,1.783869027784,0.690193869277999,0.0,0.0,0.0
g15371,0.911064718999396,0.0,1.24944119654704,0.0,0.0
g15372,0.0,2.52700706807,0.0,0.0,0.0
g15518,0.0,0.0,2.15339141119106,0.0,0.0
g15519,0.900698063872949,-0.98932445872845,-0.719714390256142,0.0,0.0
g15520,0.0,-2.43899860308435,2.24095461513759,0.0,0.0
g15521,-1.74914358081385,0.0,2.16941461564718,0.0,0.0
g15555,0.0,-2.0930503831177,0.0,0.0,0.0
g15556,0.917389219796031,-1.28168143464162,-1.29889090247569,0.0,0.0
g15558,-3.58083688768057,0.0,0.0,0.0,0.0
g15559,-6.8997758241901,8.86116013048994,0.0,0.0,0.0
g15560,-4.28896331179887,5.82476676171386,0.0,0.0,0.0
g15561,0.0,0.0,0.0,0.0,0.69503416763809
g15562,0.0,0.0,-1.0019736655738,0.0,1.5221227556239
g15557,-1.4609322166926,-0.815711264006376,0.82962420876573,0.0,0.0
g15579,3.84177678598805,-1.58712293021765,-3.24234148272076,0.0,-2.475687835558
g16014,2.74423010748452,0.0,2.05078853014678,0.0,0.0
g16015,0.759138573857382,0.842955134313094,0.0,0.0,0.0
g16030,0.0,-0.980274710891898,-1.84277046252742,0.0,0.0
g16029,-1.81838716296739,0.0,-1.32376110256714,0.0,0.0
g16134,1.03364723095662,0.0,-1.95924837824311,0.0,0.0
g16135,2.04490753994785,-0.706449600211929,0.0,0.0,0.0
g16136,1.48246650538461,-1.49401727986811,-0.927402845930267,0.0,-1.28878940799606
g16137,1.3562275463939,-2.18925415606406,3.46281770263621,0.0,0.0
g16138,0.0,-1.71992926021351,1.19961362679628,0.0,0.0
g16139,0.0,-1.4700850968595,0.0,0.0,0.0
g16133,-0.606993720819153,-1.97809866986936,1.85901460214116,0.0,0.0
g16186,0.0,0.0,1.41977255547752,0.0,0.0
g16187,-1.52806437127354,0.0,2.55960534599895,0.0,0.0
g16188,-4.38395961128771,0.0,4.31552387511366,0.0,0.0
g16218,0.77429881368074,-1.20126488521054,2.87918185448604,-0.758614487018693,0.0
g16219,0.0,0.782876978459915,0.0,0.0,0.0
g16220,-1.92295223517422,-0.968864703608468,0.0,0.0,0.0
g16230,0.0,-3.40688595422629,1.64839488578994,0.0,0.0
g16229,-4.05168331904412,0.0,0.0,0.0,0.0
g16287,0.0,0.0,-1.72741801369653,0.0,0.0
g16345,2.64939099094275,0.0,0.0,0.0,0.0
g16347,-2.45085139537302,0.0,-1.10374987993444,0.0,0.0
g16346,0.0,-0.651286185024596,0.0,0.0,0.0
g16418,0.0,-0.686363027197111,0.952875494114339,0.0,0.0
g16419,-2.93551756464467,0.0,0.0,0.0,0.0
