,TPM_trimed_0h,TPM_trimed_16h,TPM_trimed_48h,TPM_control_96h,TPM_Early,TPM_Late
g26269,-0.860601932,-0.860879102,-0.860879102,1.006009847,1.29937116,0.276979129
g26270,0.386420406,-0.449799163,-1.317364944,-0.157746265,1.6924324,-0.153942434
g26276,-0.949849303,-1.177790199,0.785408378,-0.130672574,1.440700475,0.032203223
g26277,1.583890626,0.825445463,-0.325451591,-0.284302592,-0.9441534,-0.855428506
g26278,-0.634570087,-0.596809948,-0.77919253,1.904815694,0.046451664,0.059305207
g26279,-0.745738023,-0.719236482,-0.731828547,1.660171473,-0.227085368,0.763716949
g26280,1.095919897,-1.042070888,-0.314059065,-0.63420539,-0.504687434,1.399102879
g26281,-1.165442253,0.70460517,-1.377500141,0.881650879,0.398228825,0.55845752
g26285,1.888013107,-0.087349507,0.176183454,-0.677085168,-0.866215358,-0.433546527
g26286,1.674094444,-0.924077203,-0.82712203,0.571577358,-0.571586424,0.077113854
g26287,0.127209654,-0.744865955,-1.114088148,1.650778991,-0.43881417,0.519779627
g26288,0.636487537,-0.60606218,-0.616598355,-0.446274273,-0.731823701,1.764270972
g26289,1.656702288,-0.410423919,-1.054558485,0.726128948,-0.573618899,-0.344229932
g26290,-0.232529071,-0.913919529,-1.189377404,1.53190067,0.516407154,0.28751818
g26291,2.028380592,-0.387588492,-0.625123117,-0.326413376,-0.327509293,-0.361746314
g26292,-0.822546888,0.097809699,-0.276181664,0.524712084,1.625342433,-1.149135663
g26293,-1.269828799,0.387874881,1.709434289,-0.196284821,-0.512054725,-0.119140825
g26294,-1.630641626,0.642354387,-0.809399199,0.874996117,0.258904128,0.663786194
g26295,-0.522841039,-0.524680652,-0.938143471,1.081019919,-0.54603571,1.450680953
g26296,2.041231126,-0.40994359,-0.409096187,-0.40197975,-0.409474223,-0.410737377
g26297,2.03981854,-0.384883939,-0.447831027,-0.346155293,-0.427965249,-0.432983033
g26298,2.027053064,-0.189595773,-0.399364418,-0.427986012,-0.471234643,-0.538872217
g26299,-1.295007419,-1.031405966,0.961032372,0.741462585,-0.23171828,0.855636707
g26300,-1.59229441,0.522953282,0.552432794,1.177901532,0.043688089,-0.704681287
g26301,0.973931624,0.861992392,-0.458107129,0.801300828,-0.886822405,-1.292295311
g26302,-0.560803485,-0.2572162,-1.287787967,1.603639108,-0.111680401,0.613848946
g26303,-1.041157594,-0.565124433,-0.868757849,1.308907694,0.109402943,1.056729239
g26304,1.381354417,-1.183014799,-1.108204948,0.365739551,-0.029943653,0.574069431
g26305,2.029441058,-0.530016564,-0.525432445,-0.258610836,-0.386040862,-0.329340351
g26306,-1.118062261,-1.20020139,0.140805709,1.149315312,0.044942954,0.983199675
