"gene","Compartment","log2FoldChange"
"g21599","A",4.35437032781883
"g12851","A",5.73293413362866
"g10587","A",-2.89444862138647
"g29768","A",2.98093548205074
"g16548","A",-2.59688877201817
"g19734","A",3.19881922270419
"g2431","A",3.59039265668322
"g1873","A",3.528825557719
"g1076","A",-3.28959870581802
"g12750","A",1.9491649857791
"g16617","A",-2.78329523048084
"g21393","A",3.38999895516317
"g5831","A",3.45057709946239
"g4731","A",4.39657042160698
"g5659","A",2.77019919472763
"g28953","A",-3.74428308385919
"g21496","A",5.07878277822303
"g17183","A",-1.62463750503051
"g27297","A",4.8268330863775
"g24005","A",-3.22770042697305
"g10956","A",6.29308301342954
"g21403","A",-1.80321094310232
"g1896","A",3.4355593464844
"g4258","A",4.20657714359117
"g2432","A",3.6512142479665
"g16328","A",1.6633991049379
"g11878","A",3.81085452344369
"g21171","A",2.99554278361592
"g15872","A",-2.07135518552946
"g1129","A",1.72185506274262
"g4303","A",1.54636913758219
"g28453","A",-1.91811501312865
"g10255","A",5.23287407598927
"g1598","A",-1.27835784833713
"g23351","A",-1.10344174116436
"g14889","A",-2.1037732144233
"g22004","A",2.51044345805516
"g16237","A",5.37075043396893
"g7485","A",-5.24675471693818
"g8916","A",3.06846829022971
"g7193","A",1.83432000616577
"g2441","A",4.88051872668226
"g296","A",2.49807165729827
"g13447","A",2.60179599804303
"g4975","A",-2.48358341866027
"g4312","A",-1.78439950924572
"g10068","A",2.48719899883036
"g29670","A",-2.27654888304813
"g28461","A",2.40050448732185
"g1077","A",-2.85841182877199
"g20109","A",1.80383660591917
"g8130","A",-2.04375609549076
"g17161","A",-1.43009873533563
"g14655","A",1.61918995175098
"g16520","A",1.73571720413108
"g4096","A",7.9255352782536
"g11311","A",5.32208617778048
"g21152","A",0.989375122038865
"g642","A",7.95562408510883
"g21379","A",-2.8844860888426
"g5829","A",2.50678710052889
"g10881","A",2.42470293615534
"g3173","A",1.38609504367149
"g3242","A",-2.66919130197587
"g5400","A",1.11116229366476
"g18704","A",4.33043214817653
"g15847","A",7.08489196741725
"g25008","A",1.66061696679481
"g8883","A",-1.33199582281351
"g17378","A",5.04206330107715
"g22406","A",1.86563850693459
"g26146","A",4.10412253488223
"g1970","A",2.39745571195414
"g11598","A",-2.87593844167746
"g23866","A",-2.93482678648065
"g2859","A",1.73137449385954
"g3241","A",-2.59445042081795
"g901","A",-1.24929030308573
"g1782","A",-4.69250342133096
"g20386","A",-1.04162700709159
"g12555","A",-1.63187632623415
"g18824","A",-2.13618200040759
"g3086","A",6.64744945475509
"g12729","A",-2.79650872924543
"g24090","A",-1.09293081907539
"g23166","A",-2.97228842210081
"g7897","A",-1.0668825339911
"g12197","A",-1.45586645451866
"g27078","A",3.24447792854436
"g10422","A",-1.64341908168758
"g718","A",1.60671519266329
"g3353","A",0.974357980652931
"g7279","A",1.01690445483992
"g26147","A",-2.98780525069664
"g16850","A",1.25526970503514
"g21474","A",6.82356886576096
"g8381","A",1.47512712266129
"g24987","A",6.52406488149527
"g440","A",-2.28984227824658
"g7480","A",-1.05017332373454
"g14998","A",1.72648976338421
"g8091","A",-1.73445700712826
"g20172","A",2.98493721067848
"g5022","A",4.27734091149677
"g578","A",2.6622204093475
"g21450","A",2.5210271627114
"g22177","A",1.55615061077788
"g8930","A",-1.44423683210806
"g26263","A",3.94631798849015
"g10908","A",-3.50449226357157
"g14644","A",-1.39498839525844
"g29550","A",-2.39524268442872
"g391","A",1.65313938681331
"g15899","A",-1.76120567773517
"g13440","A",-2.38720423233915
"g11297","A",4.81959712820465
"g25017","A",3.3185684113016
"g28952","A",-3.57833704642966
"g28844","A",6.67863103803863
"g10260","A",4.64619372956104
"g19802","A",1.51847313748762
"g22390","A",4.43129799411633
"g7982","A",6.12527905330466
"g579","A",2.86714014132144
"g7260","A",2.4368388109036
"g14844","A",-1.20479109156277
"g10695","A",1.55820567388057
"g13300","A",-1.16682653250369
"g24030","A",-2.20039833306798
"g28795","A",-2.70581923617795
"g22588","A",-0.911752365409883
"g14265","A",4.50624883665571
"g3305","A",-1.07768902020188
"g21177","A",2.49075821278604
"g21410","A",2.68980668532204
"g16926","A",-1.57315517511078
"g18500","A",2.83241159161692
"g21925","A",-1.96122565471845
"g14440","A",-1.86746417135906
"g28459","A",1.67166876869784
"g18825","A",-0.989492607757421
"g16480","A",4.17735115309829
"g6801","A",-2.10575330541633
"g18753","A",1.78105370723783
"g22595","A",1.15558632323175
"g6991","A",1.54735374138304
"g16479","A",5.6958387251153
"g24058","A",3.11959457172188
"g28886","A",-6.08320978692165
"g1407","A",-0.807641112041357
"g14560","A",4.52497863070552
"g21110","A",-1.52398264760907
"g3181","A",-1.38628415702601
"g14627","A",7.03629991706205
"g6731","A",1.93728750236639
"g16842","A",1.27360632211888
"g7077","A",1.61807474714686
"g10103","A",1.58943936139437
"g17097","A",2.45338240594362
"g19621","A",6.38831323691987
"g28384","A",1.12984135091772
"g16847","A",1.583720641006
"g24146","A",-1.03504301945021
"g7224","A",1.24774313974893
"g20942","A",-2.52831395720752
"g14674","A",-0.915439365384417
"g8858","A",-0.97465793249063
"g21491","A",-1.75724554225463
"g1248","A",-1.88249539464425
"g16797","A",-1.08070780887047
"g12777","A",-1.88045226427765
"g6803","A",1.35203768350367
"g15802","A",-2.5249402196202
"g5263","A",2.50298466442354
"g29114","A",-4.13775711492974
"g3225","A",-1.47055963905717
"g6502","A",1.5441435643615
"g10048","A",1.04805072240642
"g23849","A",-2.23039780139215
"g11379","A",1.06314012185447
"g7690","A",3.03060853379295
"g12004","A",-1.83427080469494
"g12387","A",-1.17832559935611
"g27531","A",4.00987741705041
"g1036","A",-5.35503281503476
"g20162","A",-1.73384269558843
"g8870","A",-1.56490984735741
"g23780","A",-1.30993202756478
"g20820","A",5.47986195450412
"g1950","A",1.52238455781591
"g16573","A",-1.4669098270907
"g27544","A",-2.50495393749365
