,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g7105,278.044517368253,2.30093445904409,0.287674815840593,7.9983868324403,1.2605980618600502e-15,2.37995492152031e-13
g21984,145.577035788677,4.01636221369941,0.502661072286533,7.99019943086014,1.3472063906528e-15,2.51640955394488e-13
g14828,2645.84895012525,2.9045641978107,0.364573006458316,7.96703032412466,1.62532792497081e-15,3.00394817964605e-13
g27343,301.498089275062,-3.16842115477375,0.402997726471106,-7.86213158699028,3.7765099713868004e-15,6.90707938308432e-13
g8854,719.588929025972,1.93984166070853,0.2471897182562,7.84758231205222,4.241340394326711e-15,7.60733494509844e-13
g25142,718.172475347127,-3.29184519944153,0.419479947493537,-7.84744352885246,4.2460349961251105e-15,7.60733494509844e-13
g8999,87.0155355540222,-5.01573429852259,0.644799890132739,-7.77874558491326,7.324719719090981e-15,1.29906493765454e-12
g8062,450.895849801965,5.65285610818943,0.727092681803907,7.77460184878326,7.56850756726761e-15,1.3288785586608499e-12
g9501,322.609026795246,-2.99543697390277,0.385699948919599,-7.76623637699052,8.085260212534e-15,1.3917744981536499e-12
g18361,70.580010543332,7.13257192624309,0.918353340508757,7.76669677304351,8.055938864265841e-15,1.3917744981536499e-12
g851,245.683617550653,3.36969857050022,0.434056700598292,7.7632681763823,8.276834136834411e-15,1.41091896868484e-12
g27205,117.399759364196,2.65728370179805,0.344879191478272,7.70496964577077,1.30874395711216e-14,2.20951215374762e-12
g16328,7205.1296065165,2.35314196177902,0.306502799321503,7.67739142020269,1.6236075926082e-14,2.7149811534299897e-12
g8457,318.834561904854,3.0380311857856,0.397318208091674,7.64634271451416,2.06776110258778e-14,3.42507070181474e-12
g8158,838.098316280022,2.50403097008326,0.329981145204717,7.58840620584483,3.2386427060175504e-14,5.31440080675291e-12
g29724,4876.65756334455,-2.24687057604091,0.296231991310448,-7.58483432562897,3.32912178156182e-14,5.41228891117244e-12
g26667,1105.90885865966,3.04420195845172,0.402552778100654,7.56224307484607,3.96177129731828e-14,6.3817229759921394e-12
g13366,163.727414823827,3.47775334737499,0.460392398385973,7.55388959410967,4.22448321845571e-14,6.7430433045132095e-12
g2112,87.3360003712366,-3.6076404354563,0.478201541904199,-7.54418402979353,4.5512806992881704e-14,7.1992240106397895e-12
g12757,1147.12423499815,1.81715616808457,0.241251704684728,7.53220032355528,4.9892335373946504e-14,7.752297561909319e-12
g27909,406.845272141397,3.18139148702748,0.422319059992443,7.53314682762461,4.95318607670128e-14,7.752297561909319e-12
g15694,595.199827407957,-7.26927613669645,0.96596346760201,-7.52541517407726,5.2553063560141905e-14,8.09409377183308e-12
g25122,242.897705309431,-4.2103468213792,0.560349920212108,-7.51378142391003,5.744346335011999e-14,8.770368082620929e-12
g25182,166.642289030847,-3.84118806260928,0.512348830524208,-7.49721251179433,6.51892451742908e-14,9.86717902388101e-12
