,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g27628,152.450483136211,1.71348676354347,0.310430498064025,5.51971141440514,3.39556845110256e-08,4.25147594577251e-06
g26995,13.4091721842413,-4.67350021544796,0.847387935004606,-5.51518380471462,3.48415629222217e-08,4.32035380235549e-06
g16538,542.984695951836,3.69734832807735,0.67137663106074,5.50711501863825,3.64761954275968e-08,4.490033282416e-06
g9280,4245.09278147543,1.7358777008998,0.315681157187971,5.49883216458872,3.82314806020697e-08,4.67199774545873e-06
g4900,100.849530008831,7.32902007320861,1.33390273878888,5.49441864094455,3.91999589902283e-08,4.7558856720231e-06
g9058,2062.29082374949,2.93421985281737,0.536074955418623,5.47352534036221,4.41169763579959e-08,5.3142049235803e-06
g12491,113.018910121657,1.89269477569343,0.347536127471191,5.4460374795145,5.15042885233223e-08,6.16005901884615e-06
g16028,457.516013966534,2.62455630155044,0.482599492075146,5.43837352638939,5.37691572441917e-08,6.38565540680316e-06
g29680,152.052391704732,2.94997910177076,0.544084054399453,5.42191795167914,5.89629464093226e-08,6.95350439333438e-06
g18170,219.156751722207,2.37496458971655,0.441723175312647,5.37659041329578,7.59095885959021e-08,8.88985626445343e-06
g20162,153.796675831408,2.1406367656187,0.398854037768066,5.36696776995769,8.00713582122456e-08,9.31257506821593e-06
g2229,3144.37967064497,3.50699544403228,0.654615114575064,5.35733955105636,8.44563103747745e-08,9.75528231616573e-06
g23361,485.921949225398,2.77306931271214,0.518697569173387,5.34621613348101,8.98119559136559e-08,1.03033253369244e-05
g2230,2494.72894062795,3.56169514388102,0.667072311550953,5.33929392991898,9.33092609687733e-08,1.0632212006604e-05
g5624,340.896005024475,3.733100927123,0.703489043903842,5.3065516221931,1.11718532406413e-07,1.25993634303769e-05
g24066,5137.83806760789,2.43901027361737,0.459671707678429,5.30598301543419,1.12067392940971e-07,1.25993634303769e-05
g2133,7880.17260769115,2.98246634857395,0.562312008619284,5.30393500913698,1.13332675760346e-07,1.26572334041224e-05
g20136,1720.67441144154,3.42718388196224,0.646519896892837,5.30097201715404,1.15187745067671e-07,1.27797771896132e-05
g23517,247.481733648295,2.89964596396686,0.54734772755183,5.2976304056954,1.17315118959558e-07,1.29307331119869e-05
g15817,3785.02702194288,2.50004475067744,0.473729393906627,5.27736885832803,1.31051927263305e-07,1.42584496862476e-05
g16542,425.791529206565,-1.89844913099192,0.359678170970911,-5.27818834784238,1.30467327137365e-07,1.42584496862476e-05
g7992,513.373356623119,1.70887991786956,0.325275722972676,5.25363498465919,1.49126288518794e-07,1.61209341639804e-05
g27124,122.023142008536,2.97658774639862,0.56737892404269,5.24620781679698,1.5526176357075e-07,1.66772890500455e-05
g11402,315.265756794339,2.23436505390259,0.427371624736252,5.2281548998053,1.71210044447458e-07,1.82148653429446e-05
g13730,995.497919202534,1.70105333887945,0.325399326706163,5.22758714991289,1.7173645573578e-07,1.82148653429446e-05
g26711,237.804818796922,2.18243947882663,0.41767272826494,5.22523816168879,1.73931089809312e-07,1.83323368659014e-05
g6288,678.860042231554,2.61563215770799,0.501071839747261,5.2200741495018,1.78851508243018e-07,1.87338623292563e-05
g4753,686.53714543965,3.65268866992423,0.702936435743255,5.19632855005166,2.03262889682115e-07,2.11482480025584e-05
g10502,404.337726645386,2.45631145513176,0.472796552080642,5.19528208131434,2.04409655148068e-07,2.11482480025584e-05
g452,1286.8226038996,1.53419181281531,0.295612775932945,5.1898697814174,2.10441196635118e-07,2.16395142686258e-05
g1965,402.288133592045,1.71354476394817,0.330399053746297,5.18628835197557,2.14526568929071e-07,2.19259155055749e-05
g19718,538.060963420035,-2.22153329194491,0.428639595506051,-5.18275333225381,2.18634105101417e-07,2.22111177616283e-05
g6164,40.0335295661809,2.65563411344368,0.513648910665176,5.17013481057447,2.33925181781595e-07,2.36222411111666e-05
g13032,128.156215412272,-2.10114153835154,0.406628665094485,-5.16722434672262,2.37596006867577e-07,2.38501134512787e-05
g9960,1201.78503042774,2.05628510622974,0.39967984928157,5.14483056858119,2.67762364363109e-07,2.67191982995235e-05
g27337,1934.25620281049,-2.15536889894936,0.419647963428235,-5.13613572991391,2.80445147059426e-07,2.78201585882951e-05
g26181,7665.32717538072,1.23705167969133,0.241024329353655,5.13247638945278,2.85954608782679e-07,2.82008100731644e-05
g20821,44.7558530997776,3.17769245934258,0.619356521371043,5.13063534441885,2.88765842237358e-07,2.83124835086675e-05
g9112,118.898508590526,-1.59455675768269,0.310934365217412,-5.12827444006629,2.92409966516001e-07,2.85040559267389e-05
g6732,119.805558640567,2.16103529669279,0.421791558356478,5.12346739492208,2.99967537112125e-07,2.90727157807981e-05
g4081,1143.44294513698,1.84412585495198,0.360260758820085,5.11886407221204,3.07381392611064e-07,2.96210274571028e-05
g342,206.821940484802,2.00932463632796,0.396931131022665,5.06214927297609,4.14556229726885e-07,3.97220241938306e-05
g8062,450.895849801965,3.67990987960071,0.727761078004269,5.05648074735198,4.27063961600126e-07,4.06893030984436e-05
g16753,66.7201073635667,1.80890151266085,0.357862140148087,5.05474401933747,4.30968411481939e-07,4.08306252316371e-05
g14895,26207.7472233487,1.72186688551129,0.341004885667729,5.04939066236446,4.43221525570355e-07,4.17569151241255e-05
g4653,13018.067913256,1.40937266494488,0.279305159657611,5.04599580857216,4.51165297012741e-07,4.22691753823493e-05
g15488,16.2285442498207,-4.93534550779451,0.978626135116772,-5.04313683305179,4.57961514462088e-07,4.26029167745959e-05
g23559,50.2460849428904,4.05717946010955,0.804735294503036,5.04163230794427,4.61577548067024e-07,4.26029167745959e-05
g26994,10.9185078661194,-4.54800647984419,0.902144089089862,-5.0413304646628,4.62306319363796e-07,4.26029167745959e-05
g18364,17.2539726144697,7.68527268786383,1.52604435970675,5.03607423924471,4.75176328770573e-07,4.35509435238421e-05
g11497,36.37060709029,-3.70617214808876,0.736295459421449,-5.03353932265305,4.81505990514102e-07,4.38925244542152e-05
